Date,Content
20190314,空客公司订单饱满，产能存在瓶颈，导致更换订单无法及时交付，使得我国航空业中期运力引进受阻，从而引发行业供给边际收紧。
20190314,狮航与埃航空难事件导致波音737MAX-8停飞，短期内影响有限，但中期运力引进延迟，进一步加剧行业供给收紧。
20190314,我国民航需求韧性明显，旺季红利依然存在，航空公司有望在淡季通过控制运力投放实现全年票价提升。
20190314,由于停飞事件和产能瓶颈，未来航空需求下滑的可能性较小，这将支撑全年票价有所提升。
20180521,环保政策助力铁路货运增长：由于贸易争端有望缓和，铁路货运行业受益于环保政策，未来有望保持增长势头。
20180521,油价上涨对快递行业影响有限：尽管国际油价持续上涨，但预计对快递行业净利润的影响较小，因为运输成本中的燃油成本占比不高。
20180521,快递行业集中趋势明显：随着行业竞争加剧，预计市场份额将向头部企业集中，服务质量明显改善的公司有望获得更大发展空间。
20180521,出行消费升级推动价格重构：航空、铁路价格中枢可能上移，以满足消费者对更高服务质量的需求。
20180521,伊朗船队退出国际油运市场可能导致油轮运价触底反弹：美国退出颐和协议制裁伊朗，可能导致占国际油轮运力约5%~6%的伊朗船队退出国际油运市场，从而推动油轮运价触底反弹。
20171128,铁路与航空出行时间差是影响客运市场占有率的重要因素，旅行时间则是关键影响因素。
20171128,高铁的市场占有率随旅行时间差的增大而逐步降低，而票价、安全性及服务对市场占有率的影响较小。
20171128,铁路在客运市场的投资维持高位，改革砥砺前行，以提高市场占有率。
20171128,铁路“十三五”规划期间，铁路部门将继续加大投资力度，以改革推动行业发展。
20190218,1月份电商物流需求旺盛，运行效率保持高位，表明电商行业在春节期间仍保持较高活力。
20190218,预计2019年快递行业将在电商增速放缓和商业模式创新等因素作用下，保持20%的相对快速增长。
20190218,电商物流和快递行业的快速发展，对交通运输行业形成积极推动作用，提高整个行业的景气度。
20190218,随着电商物流需求的持续增长，物流仓储、配送等环节也将面临更多发展机遇，为交通运输行业带来新的增长点。
20190218,商业模式创新将促使交通运输行业优化资源配置，提升服务质量和效率，为消费者提供更优质的物流体验。
20170402,交通运输行业：研报主要分析了海运市场的行情，包括集运市场和干散货市场。
20170402,供需关系：受新航商联盟调整航线安排影响，美西航线运力供给暂时下降，导致舱位利用率上升；美东航线市场竞争加剧，运价不升反降。
20170402,因果关系：货主提前发运货物推动中国出口集装箱运输市场需求上升，使得航商在多数远洋航线上推涨运价。
20170402,行业趋势：航空一季度进入春运旺季，需求端将迎来显著改善，但油价同比大幅提升对业绩产生较为明显的影响，外部因素对行业产生的压力仍然较大。
20170402,投资建议：买入某些个股，预计2015年至2017年的EPS分别为0.30元、0.49元、0.35元、1.10元和1.43元。
20180421,春运前一月为货运旺季，带动我国航空货运市场快速增长。
20180421,3月，中国出口集装箱运输市场略显疲软，供求关系面临一定压力，航线运价走低。
20180421,部分航商为维持市场份额，采取降价揽货策略，即期市场运价连续下跌。
20180421,4月初的运价提振措施暂未出现，航商对后市预期不乐观，即期市场运价有进一步下跌趋势。
20180421,由于年前运价跌幅较大，航商在月末临近年度合约谈判时，宣布上调运价，即期市场运价出现反弹走势。
20180421,3月，运输需求难有明显提振，运价低位震荡。
20180421,煤炭“限价令”颁布实施后，煤炭价格持续下跌。
20180421,外贸运输市场行情持续向好，吸引了大量兼营船舶，一定程度上缓解了国内运力供应过剩的局面。
20180421,北方港口以及长江航道不同程度封航限行，部分船舶周转受阻，进一步化解过剩运力。
20180421,下游电厂加快拉运节奏，给下半月的运价带来了一波小高峰。
20180421,唐山、邯郸等地非采暖季环保限产政策，将使得国内矿需求量预期减少。
20180421,3月份，随着新季玉米的逐步消耗，供需缺口进一步显现，节后玉米价格再创新高。
20180421,北方港口库存不足百万吨，预计在低集港量及库存下降的情况下，将进一步刺激港口粮价上涨。
20180421,节后猪肉价格大幅下挫，一定程度打击了饲料厂的补库积极性。
20180421,春节后一段时间是淀粉需求淡季，也限制了玉米深加工业收购。
20180421,下游库存充足，卸货港出现压港，搁置部分有效运力，成品油运输价格整体平稳。
20180421,国际原油以美元标价，油价及汇率的超预期涨跌将会对航空运输、航海运输等行业成本产生较大影响。
20191208,油运行业：近期一艘VLCC遭遇海盗袭击，短期内导致保费上行，运价上涨，但长期影响不大。11月VLCC运价经历回落后重新反弹，油运上行周期逻辑逐步验证。
20191208,快递行业：11月份龙头快递公司产能扩张并采用提价策略，预计四季度出现量价齐升。上半年快递业竞争加剧，单票价格走低，三季度末价格战有缓和趋势。
20191208,航空行业：航空收入增速低于运力和载运量增速，国内宏观经济下行抑制公商务旅客出行需求，导致国内客座率下降、整体票价水平下降。油价下降提升毛利率，但由于低成本航司燃油效率较高，单位航油成本较低，面临的油价波动风险较小。
20191208,宏观经济因素：美国原油生产效率提升及管道基础设施升级为出口增加创造条件，全球油运平均运距拉长，驱动VLCC需求增长。国内宏观经济下行抑制公商务旅客出行需求，影响航空业业绩。
20171108,行业内生需求放缓：由于经济增幅放缓，航空业的需求增长也受到影响。
20171108,高铁分流：高铁不断新开，持续分流航空旅客，对航空业构成竞争压力。
20171108,市场集中度下降：航空公司市场集中度下降，导致竞争格局恶化。
20171108,高票价航线受限：高票价航线受制于经济舱全价封顶值，且客座率很高，盈利提升空间有限。
20171108,低票价航线供给充分：低票价航线因供给充分，票价提升缓慢，但占市场比重快速提升，拖累行业平均票价水平。
20171108,客座率提高，票价下降：过去6年，行业客座率从80%提高到了83%，而票价持续下降。
20171108,供给收紧：供给收紧带来两个结构性好处：低票价航线增幅放慢，行业平均票价有望提升；小公司供给受限，市场份额分散速度减缓，竞争格局边际改善。
20171108,宽体机占比下降：2018年三大航宽体机净增量放缓，导致行业宽体机占比不增反降。
20171108,机场内航内线提价：机场内航内线收费标准上升5-10%，叠加生产量增长和高经营杠杆，3Q当季板块利润稳定增长。
20171108,航空下行因素：油价大幅上涨，人民币大幅贬值，高铁提速，经济增速放缓，重大疫情或自然灾害等不可抗力。
20190228,快运市场增速较快，是公路货运领域的下一个风口，其市场规模超过快递市场，且有足够的发展推力，可以保证3-5年以上的高速发展。
20190228,快运市场的增长主要来自快运公司对区域与线运输的整合、零担大票碎片化以及大件电商渗透率的提升。
20190228,快运行业中，散货业务利润较高，能带来现金流，因此成为快运企业竞争的重点。
20190228,快运企业发展较快的原因包括：许多快运网点原本就做“快运”起家，快运基因中包含了快运；加盟商已经积累了大量的客户资源，便于迅速转化。
20190228,快运市场的竞争激烈，二三线快递公司经营状况恶化，部分公司面临倒闭。
20190228,快运市场的发展也面临挑战，如优质加盟网点稀缺，先手挑选加盟商占一定优势，但起步晚难免会遇到竞争对手阻击，增大发展难度。
20201223,2020年我国快递业务量突破800亿件，显示出我国物流行业的迅速发展。
20201223,预计未来5年件量有望翻番，预示着物流行业需求将持续旺盛。
20201223,快递价格竞争激烈，新进入者扰动市场，表明行业竞争态势加剧，企业需要寻求差异化竞争策略以提升市场份额。
20201223,2020年复工复产后，快递价格战继续进行，说明疫情对行业的影响逐渐减弱，市场竞争回归常态。
