Date,Content
20201011,巨人公司出售合肥灵犀的原因是为了减少不公平的主营业务亏损，专注于更具盈利潜力的游戏业务。
20201011,9月份手游市场整体表现不佳，实际销售收入环比下滑8.1%，无论是移动电竞游戏还是客户端电竞游戏，都出现了不同程度的下滑。
20201011,由于未知原因，研报中提到的传媒行业数据周报与传媒行业无关。
20201011,优化业务结构：通过出售合肥灵犀，巨人公司可以减少不公平主营业务的亏损，从而将更多资源投入到具有较高盈利潜力的游戏业务中。
20201011,调整战略方向：此次出售可能是巨人公司战略调整的一部分，以适应不断变化的游戏市场，提高整体盈利能力。
20201011,降低负债风险：出售亏损业务有助于巨人公司降低负债，提高企业财务状况。
20201011,市场竞争加剧：各类游戏新品上线，导致市场份额争夺更为激烈。
20201011,用户需求变化：用户对游戏的需求可能出现波动，导致销售收入下滑。
20201011,监管政策影响：国家对游戏行业的监管政策可能对市场造成一定程度的影响。
20171109,传媒行业整体业绩增长放缓，与行业并购热度降温、互联网流量红利减少以及行业内部竞争加剧有关。
20171109,传统业态受到互联网影音娱乐业态的挤压，有线电视网络板块业绩下滑速度加快，仅有少数公司业绩增长，大部分公司业绩同比减少。
20171109,行业盈利水平下降，销售费率总体提升，尤其是互联网信息板块和影视动漫板块的毛利率降幅超过5个百分点。
20171109,行业整体正在调整过高的销售费用，部分互联网信息板块的公司销售费率有所降低。
20201203,10月份，电梯LCD和电梯海报广告刊例花费同比分别增长41.3%和43.9%，保持了较高增速。环比分别增长7.6%和-32.0%，电梯海报环比增速下降主要受9月高基数影响。
20201203,10月梯媒刊例花费同比持续增长主要源于市场需求旺盛，其中电商双十一预热和线上APP持续投放是主要驱动力。
20201203,宏观经济低迷导致广告投放意愿减弱，电梯媒体行业竞争格局恶化。
20190407,传媒行业整体市场保持增长，但受市场环境、业务调整及资产成本等因素影响，部分公司业绩出现下滑。
20190407,灰指甲疾病困扰着大量美国人，这与计算机行业无直接关系。
20190407,受政策调整、市场竞争等不利因素影响，游戏行业增速放缓，公司业绩普遍受到影响。
