Date,Content
20201122,火电行业在2021年有望实现盈利继续改善，原因在于煤炭供应增加以及煤炭价格预期中低位震荡。
20201122,随着国内经济稳定及海外疫情控制，煤炭需求和供给均呈增长态势，火电行业受益于煤炭价格波动带来的盈利空间。
20180101,2018年水电利用小时预计高于2017年和历史均值，政策支持下，水电企业盈利水平有望提升。
20180101,火电上网电价2018年大概率上调，但调幅难改行业盈利现状，行业盈利修复还需依赖政府引导下的市场煤价回落。
20180101,非水可再生能源受政策扶持，行业保持较快速度成长，弃风弃光问题已得到改善，发电运营商盈利水平将提升。
20180101,“大气十条”考核年推动“煤改气”进程，大幅拉动下游天然气消费量提升，预计2018年消费增速高于过去几年均值。
20200719,二季度以来，由于山西部分煤矿停产检修、进口煤量明显收窄以及下游火电企业日耗回升等因素，市场煤价有所反弹，但与去年同期相比仍偏低约10元/吨。
20200830,水电公司因汛期各地持续强降雨，来水显著偏丰，预测三季度发电量有望超预期，业绩有望爆发。
20200830,全年来看，受益于煤价持续下跌及电价风险解除，公司全年业绩有望实现高增长。
20200806,用电需求自3月起呈现回暖迹象，叠加严控电力装机，发电设备利用小时数有望企稳回升，火电板块受益。
20170423,光伏行业需求回暖，主要由于下游无库存、硅片企业产能恢复以及并网步骤加快等因素。
20170423,光伏组件价格大幅下调，导致光伏成本进一步下降，有望推动光伏平价上网的提前到来。
20170423,公司2017年第一季度预计亏损，原因包括合同项目工期影响、销售收入减少、毛利减少等。
20170423,另一公司2017年第一季度预计亏损，原因包括电容器类产品订货和收入同比大幅减少、期间费用同比增加等。
20170423,风电整机装机容量减少，导致行业发展回调，公司经营业绩下滑。
20170822,7月份全国全社会用电量同比增长9.9%，主要原因是经济增速稳定叠加高温天气导致用电量增长。
20170822,上游煤炭价格在旺季来临时升温，但电厂库存充足，购买高价市场煤的积极性不高，煤价上涨预计持续到8月中下旬。
20170822,2016年7月发电量增速基数较高，本月受天气等因素影响，发用电量单月增速实现年内新高。
20170822,1-7月设备利用小时整体好于预期，新能源装机比例持续走高，火电触底反弹趋势明显。
20170822,高温天气导致空调负荷占比增大，是电量上升的主因之一。
20170822,线损电量的虚增（或需降）主要来自负荷差，即供电量（自然月）-用电量（抄表月）中相当大部分电量差额导致了线损虚增。
20170822,2017年8月份发电量同比增速可能下行，受去年高基数增长原因，发电量同比增速下降的可能性较大。
