Date,Content
20170904,环保政策对畜禽养殖行业产生重大影响，导致行业供给收缩，进而推动畜禽产品价格上涨。
20170904,规模养殖占比提高，使得动物疫苗行业直接受益，渗透率提高，市场苗需求提升。
20170904,环保风暴导致禽肉价格上涨，生猪价格企稳回升，行业盈利水平有所改善。
20170904,饲料行业受益于养殖规模化，叠加水产价格上涨，海大水产料有望持续高增长。
20170904,行业龙头企业在口蹄疫疫苗市场具有竞争优势，市场苗市场规模预计三年翻倍。
20170904,环保政策影响持久，未来禽价可能维持高位，行业集中度提升。
20170904,鸭养殖行业深度亏损导致供给收缩，环保因素使得价格高位持续时间更长。
20170904,饲料企业通过成本控制和业务拓展，实现盈利能力改善和业务增长。
20181111,非洲猪瘟疫情导致生猪销售流通受阻，产销区价差缩小，大型养殖场因更好的产品质量和生物安全保障能力获得更多销售机会和更好销售价格，行业开始减少现有产能。
20181111,仔猪和种猪价格持续下滑，行业开始淘汰母猪，产能在年前将加速出清。
20181111,非洲猪瘟疫情使得行业底部难以预知，但龙头企业的综合抗风险能力将得以体现，长期价值不受影响。
20181111,2019年猪价上涨或成定局，养猪行业未来十年是工业化转型期的黄金十年。
20170913,玉米：尽管产需差收窄，但相比于16/17年度产需盈余885万吨，基本面仍大幅转好，预计17/18年度玉米价格将继续震荡上行。
20170913,棉花：在去库存背景下，国内产量大幅回升，但消费疲软，预计17/18年度国内棉花产量仍将低位运行。
20170913,大豆：大豆进口需求旺盛，带动豆油产量增加，17/18年度国内豆油产量调增21万吨至1626万吨，国内食用油产量上调至2749万吨。
20170913,豆油：有望跟随国际大豆价格震荡偏强。
20170913,花生油：由于国内种植面积与产量回升，价格或将走弱。
20180107,养殖行业规模化进程加速，高品质疫苗需求持续提升，市场渗透率快速提高，行业龙头凭借其过硬产品品质以及先发优势，竞争优势地位将愈发的巩固。
20180107,随着养殖规模化的快速发展，饲料行业逐渐内化为养殖环节的内部成本中心是大势所趋。
20180107,猪价的反弹是板块估值提升的最好动力，预计18年生猪均价将在14-14.5元/公斤，在出栏量的快速增长下，生猪养殖龙头其业绩仍将实现增长。
20180107,种业研发周期长、投入大，爆款存在高增长可能性。
20180107,预计17年年底至18年初，中农威特与公司申报的猪用口蹄疫OA二价苗将会先后拿到生产批文，未来三年内竞争格局趋于双寡头市场。
20180107,公司是国内最大的黄羽鸡养殖企业，占到全国约20%的市场份额。随着禽流感影响的消除以及行业大规模去产能，黄羽鸡价格快速回升，进入景气高峰，带动盈利大幅好转。
20180107,销售模式已从原来的经销为主变成以直销为主，对猪场的直销比例已经达到60%。随着养殖模式调整和外购仔猪等负面影响消除，预计18年公司自繁自养成本将降至12.2-12.4元/公斤，盈利能力大大提升！
20170723,生猪出栏价和猪肉价格微跌，国内猪价在供需僵持下平稳调整，走势略偏弱。原因是目前是猪肉消费淡季，屠宰企业收购量持续下滑，需求继续下降。
20170723,鸡肉价格和鸡苗价格反弹，预计鸡价反弹仍将继续，下周禽链板块仍然看好。这与前期对鸡价的反弹预期有关。
20170723,农业国企深化改革，关注其对行业的影响。
20170723,"2017年上半年度公司营业收入较上年同期增加21,501.74万元，上升13.21%，主要原因是农产品市场趋好，价格上涨，销量增加。"
20201213,研报关注农林牧渔行业，主要涉及种植和养殖两大板块。
20201213,中长期来看，种植业和种业景气触底上升，龙头公司业绩有支撑，转基因主粮种植商业化有望带来板块估值提升。
20201213,养殖上游板块受关注，其中包括替抗产品、生猪养殖等。10月份重点公司替抗产品收入环比、同比增长，显示行业景气持续上行。
20201213,生猪存栏持续上升，猪苗需求增长有保障。受消费旺季影响，猪价近期反弹趋势有望延续至春节前后。
20181021,非洲猪瘟疫情在东北、华北地区持续扩散，导致南北区域生猪差价存在，养殖户面临疫情风险和猪价下跌带来的双重打击。
20181021,疫情扩散过程中，落后的中小产能有望加速退出行业，推动行业产能去化。
20181021,若疫情扩散时间较长，养殖户可能会减少养殖或空栏，加快猪价上行拐点的到来。
20181021,政策引导猪肉供应链由“调猪”向“调肉”转变，但冷链运输体系有待加强。
20181021,近期消费疲软，预计短期内猪价或持续偏弱运行。
20181021,毛鸡出栏量偏低，屠宰场收购难度大，毛鸡价格以稳为主。
20181021,鸡苗产量无明显回升，规模养殖场按计划补栏，苗价持续高位，养殖户补栏信心增强。
20180722,禽养殖板块近期表现强势，毛鸡价格上涨，鸡肉产品综合售价保持景气，产业链各环节均可获取较好盈利。
20180722,商品代鸡苗销量水平平稳，较去年同期下降，预计8、9月份肉鸡供应量保持平稳。
20180722,商品代鸡苗价格今年以来基本震荡运行在2~3.5元/羽的区间，回顾2010年以来的季节性走势，7、8月份鸡苗价格均有显著快涨走势。
20180722,随着产业链景气度持续向好，短期鸡苗价格可能进一步上行，带动禽养殖板块继续强势表现。
20180722,畜养殖板块本周小幅回调，全国生猪均价继续上涨，高温、台风、降雨等极端天气影响生猪跨区域调运，部分地区猪价上涨。
20180722,肉禽信息方面，毛鸡出栏量有所回升，高温天气导致毛鸡提前出栏，毛鸡价格随屠宰场开工率调整而波动。
20180128,商品代鸡苗价格上涨，父母代销量维持低位：受供求关系影响，商品代鸡苗价格稳步上行，父母代鸡苗价格突破30元/套，实现较大幅度盈利。
20180128,引种受限，父母代鸡苗销量下降：2017年12月，父母代鸡苗销量明显下滑，仅约313.6万套，环比下降22.6%，导致市场供应紧张。
20180128,2018年1月份，父母代鸡苗周销量均在70万套以下，继续维持低位，表明市场供需关系紧张。
20180128,禽类价格波动风险、疫病风险、食品安全等：研报提及禽类价格波动风险、疫病风险、食品安全等潜在因素，可能导致行业波动和市场不确定性。
20180128,猪价上涨加速：本周猪价上涨加速，可能对禽类市场产生一定影响。
20170603,草鱼等水产品价格进入上行通道，草鱼存塘量较少，预计价格将持续高位运行，推动水产饲料销量增长。
20170603,饲料行业销量整体拐点已至，叠加养殖产业结构调整，饲料龙头企业有望迎来新一轮高增长。
20170603,能繁母猪存栏底部已至，补栏开始加速，叠加PSY提高及出栏均重提高，猪饲料销量一季度增长加速。
20170603,环保、淘汰、养殖户资金等因素边际上明显改善，有利于养殖产业结构调整，推动饲料龙头新一轮高增长。
20170603,动物疫苗市场化进程将明显提速，政策调整强免品种，鼓励创新，为饲料行业带来新的发展机遇。
20170530,饲料板块周期向上，水产饲料销量加速提升，带动龙头企业盈利超预期。草鱼等水产品价格持续高位，推动水产饲料增长，预计水产饲料销量增速20%、25%，猪饲料销量增速25%、30%，禽饲料销量稳定增长。
20170530,养殖产业结构调整，推动饲料龙头企业新一轮高增长。下游养殖集中度提升，龙头饲料企业销量增速高于行业。
20170530,能繁母猪存栏下降原因：环保因素淘汰母猪，养殖户补栏仔猪为主，上一轮部分原种猪作为肥猪出售，导致原种猪供应不足。
20170530,动物疫苗市场化进程加速，市场容量有望迅速扩大，龙头企业受益。政策调整强免品种，鼓励创新，口蹄疫及禽流感推行“直补”。
20170530,畜禽屠宰企业标准化建设试点工作启动，加强畜禽屠宰行业管理，规范畜禽屠宰行为，保障畜禽产品质量安全。
20170530,淡水小龙虾产业发展研讨会的召开，对产业发展模式、养殖技术标准和评价体系进行规范要求。
20170530,国产大豆价格东北趋稳、沿淮走弱，豆价短期趋稳，沿淮产区小麦上市前，豆价仍有下跌可能，但跌幅有限。
20170530,华北地区玉米收购价格稳中趋强，新小麦上市临近，企业为增加库存，提高收购价格。
20170530,市场价格将整体保持稳定，但随着拍卖陈粮大量出库，市场需求压力降低，价格或会小幅下调。
20171223,农业板块本周表现强于大市，种植业、饲料、动物保健领涨。
20171223,商品代鸡苗和毛鸡价格双双上涨，鸡苗价格创出年内新高，预计鸡价有望震荡上涨至2018年中期。
