Date,Content
20170919,汉丹机电专注于非致命弹药等军工产品的研发、生产和销售，是国内该领域的领军企业，产品主要配备于部队、武警及公安队伍。
20170919,深圳东志业务规模的扩大和新收购公司的光纤供应渠道拓展，使公司收入呈现平稳增长。
20170919,同智机电毛利率达到60%以上，但民用产品市场竞争激烈，毛利率相对较低。
20170919,石油勘探行业对斜度和方位的测量有高要求，需使用惯性导航系统。
20170919,全国检测市场中，国有和外资检测机构占据大部分市场份额，民营检测机构市场份额较小。
20170919,公司2016年收入大幅增长主要得益于线缆组件业务的突破，但该业务毛利率较低。
20170919,中国连接器市场保持高速增长，连接器市场规模日益扩大。
20170919,船舶机舱自动化系统的技术、工艺复杂程度高于船舶配电系统，因此其毛利率较高。
20170919,国防装备应用部门机构调整导致公司板块业务收入和毛利下滑。
20170919,受国家军队体制改革影响，传统军品业务订单减少，新产品毛利率较低导致利润率下滑。
20170919,电动振动试验设备市场需求保持稳定增长，高加速寿命试验和应力筛选系统及液压振动试验设备等需求将持续增长。
20170919,我国民航运输业保持稳步发展，对民航客机的需求量逐步增加。
20170919,公司航空航天业务为主要收入和利润来源，农机业务疲软拖累公司业绩。
20170919,高温合金材料广泛应用于航空航天、电力、汽车等领域，市场需求持续增长。
20170919,上游石英纤维材料市场需求受到下游行业发展的拉动。
20170919,多芯组陶瓷电容器具有容量大、价格优等特点，能有效弥补液体钽电解电容器存在的缺陷。
20170919,公司自产业务毛利处于上升态势，但受低毛利的代理委托业务体量上升影响，公司综合毛利率基本保持稳定。
20170919,红相科技主要供应红外热像设备和部件，客户集中度较高，订单稳定性较高。
20170919,公司所处氯碱化工行业产能过剩，产品毛利率较低，盈利能力较弱。
20191014,总装和分系统企业在军工行业中具有较高的利润分配地位，但低端零配件和配套产品的利润可能流向总装企业。
20191014,军工行业为保证先进零配件和基础材料开发的企业的毛利率水平，可能会采取一定的措施。
20191014,由于市场竞争加剧，低端零配件和配套产品的利润空间可能受到挤压。
20191014,美国贸易谈判中的出尔反尔影响了市场情绪，进而影响到军工行业股价的小幅上扬。
20190222,军品定价机制存在的问题：当前的成本加成合同可能导致研制成本越高，总装厂获得的利润越高，这使总装厂缺乏降低研制成本的动力，从而导致装备研制成本居高不下。此外，成本审核工作可能存在困难，导致武器装备价格不合理上涨。
