Date,Content
20180226,智能家电在春节期间受到热捧，反映出消费者对品质生活的追求不变。
20180226,电视生产商拥有较高的面板库存，使得他们具有强大的供应链议价能力。
20180226,32吋和55吋面板降价幅度平缓，电视制造商希望面板制造商提供更多价格优惠，但尚未达成共识。
20180226,40、43、50英寸面板以及65-75英寸大尺寸面板的价格战可能导致电视生产商对2018年第一季度需求调整。
20180226,春季到来后，电视制造商将推出新品，春季大促也将开始，新一轮面板采购需求可能面临调整，预测3月份电视面板价格将继续小幅下滑。
20180226,电热水器市场发展相对稳定，燃气热水器在2017年迅速发展，二者都在寻求精品化和智能化发展。
20180226,中国市场复杂性决定燃气热水器无法完全取代电热水器，尤其在天然气管道无法铺设的三四级及农村市场，电热水器仍具有巨大优势和市场空间。
20180226,美的、海尔等领军企业在产品创新和渠道下沉方面取得成果，为电热水器市场增色。
20180618,2018年一季度，我国家电行业热水器产品销量出现下滑，其中燃气热水器销售量同比下降3.21%，储水热水器销量同比下降6.62%。
20180618,2018年全年，我国家电行业热水器市场可能呈现“量降额涨”的情况，一方面，政策性影响会给市场带来机会；另一方面，线上市场将继续发挥拉动引擎的作用。
20180618,净水器电商在农村市场的普及和企业深入，应根据实际情况因地制宜，了解农村消费人群，利用村镇的门户网站吸纳当地人成为网络村长，然后借助这些人进行落地营销，构建起覆盖全国的农村电商网络。
20180618,我国家电行业受宏观经济及房地产销售等影响较大，房地产市场低迷将影响家电市场需求，宏观经济也影响消费结构，对家电消费有重要影响。
20180618,我国家电行业原材料成本占比较高，行业成本转移有一定时滞，原材料成本上升将影响企业的盈利能力。
20180618,我国家电行业市场竞争激烈，产品面临不符合消费者需求、价格下降等风险。
20180618,我国家电企业更多地走向国际市场，出口比例越来越高，相应的汇率风险也较高，外币贬值对出口较多的企业有不利影响。
20171213,近两年来，小家电需求保持较高增长速度，一线品牌市场占有率不断上升，预计未来一段时间内，小家电龙头企业业绩将继续保持较高增长。
20171213,传统家电龙头企业随着国际化路线的成熟和产品种类的丰富，市场占有率不断提升。
20171213,高端电视销量同比增长7倍，显示出消费者对高品质家电产品的需求正在迅速上升。
20171213,中低端杂牌家电逐步被淘汰，一线品牌在家电市场的竞争优势逐渐凸显。
20200921,空调行业供需关系变化：海外疫情导致海外空调企业产能未完全恢复，部分订单转向国内龙头厂商，使得我国空调行业出口增长。
20200921,因果关系：我国疫情控制较好，企业生产恢复早，从而受益于产能转移，实现空调出口增长。
20200921,行业景气度回暖：渠道库存去化至较低水位，随着旺季到来，行业出货及零售端有望稳步增长。
20200921,终端销售波动：经历“五一”和“618 电商节”的高景气后，7 月份出现回调，导致出货端增长与终端销售下滑形成反差，故 8 月份出货增速有所回落。
20180703,近期家电板块走势偏弱，原因之一是棚改政策可能调整，引发投资者对三四线地产的担忧；原因之二是人民币贬值，导致资金流出压力增加；原因之三是部分个股事件冲击。
20180703,近期家电个股事件分为两类：一是市场预期中报预期增速放缓，如欧普照明、小天鹅A；二是其他事件，如浙江美大大股东减持、华帝股份京津区经销商事件等。
20190701,家电行业：研报提及开展家电以旧换新活动，这表明政策对家电行业的扶持，有助于刺激消费市场增长。
20190701,供需关系：5月冰洗彩出货端大幅反弹，说明市场需求有所回暖，而1-5月内销下滑、出口增长，反映出国内外市场供需关系的变动。
20190701,因果关系：家电销售对全区社会消费品零售总额的增长起到积极作用，开展家电以旧换新活动可以有效缓解家电消费网络外流问题，刺激本地消费市场增长。
20190701,行业前景：家电以旧换新活动得到政府及相关部门的大力支持，有望推动我区经济稳增长，进一步提升家电行业的市场前景。
20210111,厨房功能多元化，人们对厨房空间利用要求提高，推动了集成灶市场的发展。
20210111,集成灶采用下排风设计，距离油烟产生源头近，吸烟效果好，降低了烟机对密闭空间的依赖，更适合现代厨房需求。
20210111,集成灶的使用解放了厨房对墙的限制，符合新兴消费群体对房屋设计的诉求。
20210111,集成灶缓解了中小户型厨房空间紧张的问题，受到市场的广泛认可。
20210111,集成灶行业面临的问题包括缺乏具备通识性的大品牌和厨电产品更新周期较长。
20210111,新房装修是目前集成灶市场的主要需求，旧厨房改造贡献相对较低。
20181209,家电行业整体需求放缓，受地产周期影响，空冰洗增速放缓，进入需求弱周期。双十一促销对冰洗销量有所提振，但空调销量表现较弱。
20181209,线上渠道竞争激烈，低价中小品牌拉动线上销量快速增长，导致线上整体均价下滑。冰洗主要品牌11月ASP同比增速为正，但提价速度逐步放缓。
20181209,传统厨电需求承压，竞争加剧，均价表现较弱。互联网普及和移动互联网发展使得电商渠道红利逐步淡化，电商平台从追求规模转向追求利润。
20181209,家电新增需求红利淡化，企业对存量市场份额的竞争更激烈，预计定价思路将从量价齐升逐步转变为保障合理利润，追求份额和收入增长。
20181209,双十一期间，优质产品力和领先品牌力的龙头品牌在降价幅度上可以获得更显著的份额提升。
20181209,短期内，空调需求进入淡季，零售表现预计底部波动。在家电需求放缓趋势延续的背景下，明年家电投资将呈现“二元化”结构，一方面优质资产的弹坑逻辑依旧成立，另一方面，高风险偏好资金会提前布局成长品种。
20170807,壁挂炉行业：受益于国家环保政策补贴和“气代煤”政策，市场需求迅速增长，行业进入高速发展阶段。政策红利推动了壁挂炉市场销量不断创新高，预计第三季度市场销量有望突破新高峰。
20170807,空调行业：上半年空调内销高增长，预计低基数下的高增长将贯穿整个冷年。然而，随着地产拉动减弱、涨价背景下经销商备货积极性下降以及去年低基数效应逐渐减弱，二季度收入增速难突破一季度高点。
20170807,供需关系：壁挂炉行业供需关系受政策红利和市场需求驱动，呈现快速发展态势。空调行业供需关系受地产、涨价和低基数效应影响，增长速度略有放缓。
20170807,因果关系：政策补贴和市场需求推动了家电行业的发展，尤其是壁挂炉行业。而地产、涨价和低基数效应则影响了空调行业的发展速度。
20190917,空调普及期晚于冰洗，一户多台的产品属性拉长了渗透率的提升时段，至2016年，两人以上家庭的户均保有量达到并稳定在2.8台左右的水平。
20190917,“一人户”的大量出现为空冰洗类产品贡献增量需求。
20190917,政策透支后，冰箱持续下滑。
20190917,2015年至2016年，空调内销出现断崖式下滑（2014年地产下行+空调去库存周期，月度最大跌幅超过40%），后来于2016年7月起展开强劲反弹至今。
20190917,空调、冰箱等家用电器的普及和需求受到家庭结构、政策因素和地产市场的影响。
20190917,空调和冰箱的销售走势存在周期性波动，与政策、库存和市场需求等因素密切相关。
20190917,随着一人户家庭数量的增加，空冰洗类产品需求得到提升。
20190917,政策透支导致冰箱市场持续下滑，而空调在经历低谷后出现强劲反弹。
20190404,家电行业与地产数据密切相关，尤其是厨电子行业，其估值变化和基本面走势均先于地产数据作出反应。
20190404,厨电代表品类如油烟机在不断升级，产品换代带动更新消费，同时厨电企业也在开发厨房相关产品以拉动消费。
20190404,家电市场需求可分为新增需求和更新需求，其中新房装修带来的家电购置需求尤为重要。
20190404,市场普遍认为“家电是地产后周期行业”，因此对厨电的估值反应更大。
20190404,地产数据对厨电公司的影响较大，但相比较整个厨电行业，影响走势图并不紧密，尤其是老板电器。
20190404,集成灶作为厨电的新兴品类，销售态势良好，未来将并存发展，有望增强集成灶行业的推广力度和规范标准。
