Date,Content
20191123,水泥价格持续上涨，部分地区如河南、山东、河北、江苏等地因环保限产、需求旺盛等因素推动价格上涨。
20191123,华北地区水泥价格受环保预警影响波动较大，其中河南地区水泥价格大幅上行，库存保持在较低水平。
20191123,江苏地区水泥价格受水运影响出现波动，苏锡常地区价格上涨，而徐州地区则因山东水泥企业停窑限产而出现价格上涨。
20191123,安徽北部、湖北鄂西北地区水泥价格受外部因素影响出现上涨，企业发货较好，库存水平正常或偏低。
20191123,湖南地区水泥价格受下游需求向好影响出现上涨，企业发货多在8-9成或正常，库存在正常水平。
20191123,郑州地区水泥价格受环保预警影响出现回落，下游需求短暂大幅下降。
20191123,贵州贵阳地区水泥价格受工程开工率偏低影响出现下跌，销售压力较大。
20191123,陕西关中地区水泥价格受气温下降影响出现上涨，下游需求环比减少10%左右，企业发货尚可。
20191123,华中地区现货价格上涨幅度较好，市场成交也环比增加；而沙河地区玻璃现货出库受到一定限制，总体出库量环比有所减少。
20191123,华北地区部分企业因环保原因调整价格，市场信心受到影响，生产企业原燃材料运输和产成品外销受限。
20170903,2017年上半年，建材行业盈利大幅改善，尤其是水泥行业和玻纤行业。
20170903,行业整体营业收入同比增长14.1%，营业成本同比增长11.7%，营业利润同比增长36.7%，净利润同比增长28.2%，净利润增幅大于营业收入和营业成本。
20170903,玻纤及制品价格稳定，主要企业产品销量上升，导致营业收入增长。化工原材料成本上升导致部分企业毛利率下降。
20170903,企业财务费用等期间费用下降，玻纤行业整体盈利增速较快。
20171129,建材行业具有明显的季节性收益规律，其中2月和11月的开工旺季容易获得超额收益。
20171129,水泥产能利用率维持高位，行业利润率提升至近年高位，但若继续维持将不利于小产能主动退出市场。
20171129,2018年玻璃下游房地产行业景气度或基本维持现状，房屋新开工面积受政策调控影响大，预计玻璃需求或与2017年持平。
20171129,2018年玻璃行业将进入冷修高峰期，预计将再新增29条冷修产线，叠加环保压力，供给端或持续缩减。
20171129,随着土地供需紧张，土地溢价率提高，土地购置单价开始与房价出现倒挂，房地产企业拿地成本增加。
20171129,龙头房企有较强的资源整合能力，家装建材有望受益于地产龙头集中度提升。
20171129,建材行业超额收益月度特征明显，主要在2月和11月获得。
20171129,水泥价格普涨，华东、东北地区涨幅靠前，系供给侧改革红利持续、环保督查及成本端价格上涨影响。
20171129,随着环保督查的持续进行，环保要求不达标的小产能预计会被陆续淘汰，水泥及熟料产能利用率提高，行业销售利润率有望将进一步提升。
20171129,玻璃需求或与2017年持平，主要受环保限产力度增强和房地产政策紧缩影响。
20171129,玻璃企业冷修期较长的原因在于产线较落后，环保政策趋严有望推动供给端持续收缩。
20171129,土地供需紧张推高地价，土地溢价率提高迅猛，行业集中度提升明显。
20210314,供给侧改革对水泥和玻璃行业产生了积极影响，使其成为较好的周期行业，具有较好的持续性。
20210314,“碳中和”政策将对行业供给总量和格局（集中度）产生重大影响，进而影响行业盈利能力。
20210314,中国作为大国经济，城镇化率和消费升级仍有提升空间，中长期市场空间广阔。
20210314,目前消费建材行业集中度较低，部分公司已具备成为综合性建材集团的潜力。
20180722,水泥需求在7月中旬处于淡季，但部分地区如江苏常州、浙江杭邵发货量有所改善，甚至出现供不应求的情况。
20180722,受环保治理和错峰生产影响，大部分地区的熟料供应处于紧平衡状态，有助于水泥价格企稳。
20180722,进入8月份后，随着下游水泥需求恢复，多地区水泥价格预计将进入上行通道。
20180722,上周水泥价格继续环比下跌，但库容比下降，行业供需在淡季并未向供给端倾斜，环保和错峰生产使得行业供需继续保持较平稳态势。
20180722,经济数据显示经济处于高位衰变，这对行业的需求未来有一定影响，但考虑到防风险的政策目标，需求出现大幅下滑的可能性不大。
20180722,受重度污染天气影响，唐山政府要求水泥企业停产4天，区域内熟料供应仍然较为紧张，价格保持在高位。
20180722,吉林长春、黑龙江哈尔滨等地区水泥价格出现波动，主要受到雨水天气和外来低价水泥的影响。
20180722,江浙沪沿江熟料价格上调，主要由于供应短缺所致。
20180722,南京地区熟料供应紧张，水泥生产受限，企业计划先推涨低标号袋装价格。
20180722,浙江杭绍、宁温台等地区水泥价格保持稳定，受外围停窑限产影响，熟料供应略显偏紧。
20180722,江西南昌及九江地区水泥价格下调，主要受到高温及砂石供应紧张的影响。
20180722,福建福州地区水泥价格再次下调，主要受到台风和雨水天气的影响。
20180722,湖南长株潭地区水泥价格平稳，受雨水天气影响，下游需求疲软。
20180722,四川广安地区水泥价格上调，有重点工程支撑，下游需求同比增加。
20180722,中碱纱市场行情变化不大，成本面中碱玻璃球供需尚可，供应面生产趋于平稳，下游加工厂订单表现平稳。
20180722,池窑电子纱市场需求较前期略有回暖，但受需求牵制，电子纱市场价格进一步小幅下滑。
20210315,水泥行业：沿江熟料价格提前上调，反映行业低库存和低价背景，同时也是PPI上行过程中，下游投机性需求升温的反映，行业供给曲线可能发生变化。此外，东北、西北等地区水泥报价上涨较快，华中地区水泥价格上涨稍缓，华北地区水泥价格上涨较好。
20210315,房地产销售：2020年房地产销售面积同比增长2.6%，较19年有所加快。12月房地产销售持续改善，地产后周期品类销售继续好转，建筑及装潢材料零售额呈现环比改善趋势。
20210315,消费建材板块：零售端景气度回升，推荐零售端占比高且渠道调整效果明显、盈利弹性有望持续的消费建材龙头，如东鹏控股、伟星新材等。
20210315,工程端建材板块：对资金环境敏感度较高，受流动性边际收紧和房地产政策变化预期影响，市场对地产政策预期存在不确定性。
20210315,玻璃行业：受环保、产业政策、窑龄等多重约束，看好玻璃高景气的韧性有望超预期。
20210315,电子纱行业：走货主要区域为山东及江浙地区，多数电子纱厂家自用。短期低库存与需求复苏支撑粗纱与电子纱价格上升通道运行。
20210315,建材行业渠道：相对粗放，随着存量模式下竞争加剧，渠道下沉和精细化运作成为必然。
20181104,建筑行业估值受景气度影响，2018年以来行情低迷反映市场对投资增速的悲观预期，即在经济发展动能转换、清理PPP项目、规范地方政府融资行为、资管新规下表外融资逐步缩减的背景下，基建和房地产增长的边际递减预期。
20190630,中长期看好消费建材：受益于存量住宅翻新需求、消费升级及龙头集中度提升，中期竣工改善有望带动竣工端消费建材需求回升。
20190630,浮法玻璃价格环比上涨，供应紧张，库存下降，需求端受原片价格提涨影响，终端采购积极性尚可。
20190630,19年粗纱价格可能呈现底部震荡格局，电子纱市场行情偏淡，价格暂稳，后市有调价预期。
20190630,水泥市场需求疲软，价格继续震荡调整，部分地区价格调整较谨慎。
20190630,无碱粗纱市场短期内将呈现弱势运行态势，风电市场需求表现良好，整体供需变动不大。
20190630,建研集团作为建筑科研机构和建设综合服务商，有望受益于环保要求提升、砂石质量变差带来的减水剂行业集中度提升以及多地域+多领域扩张策略。
20190630,我们预计Q2价格环比有望企稳，销量恢复至10%-20%的同比增长，维持19年业绩逐季改善判断，中长期看好巨石全球玻纤龙头地位。
20210308,消费建材行业龙头企业在跨品类布局上具有优势，业绩增长潜力大，重点关注东方雨虹、伟星新材、北新建材等企业。
20210308,原材料和能源成本上升可能对消费建材企业的生产成本产生影响，尤其是与原油价格密切相关的防水材料、混凝土添加剂、塑料管道、涂料等行业。
20210308,在水泥价格波动趋缓的背景下，企业盈利弹性减弱，未来业绩增长主要来自产业链延伸和产业布局优化。
20210308,国内政策收紧新增产能，水泥企业海外熟料产能布局值得关注。
20210308,玻璃行业需求有支撑，供给新增有限，企业涨价意愿强烈，2021年盈利水平有望优于2020年。
20210308,地产后周期竣工改善对玻璃行业需求形成支撑，光伏玻璃供应紧张进一步推动玻璃价格上涨。
20210308,平板玻璃需求稳中向好，供给保持稳定，部分浮法生产线转产光伏背板加剧供需紧张，推涨价格。
20210308,玻纤行业集中度高，竞争格局稳定，2021年新增产能减少，价格有望维持高位。
20210308,国内玻纤需求增长核心动力来自风电和新能源车发展，2021年整体需求将保持正增长。
20210308,宏观层面信用债违约风险可能影响地产、基建融资，进而影响固定资产投资预期和建筑及建材企业现金流。
20210308,装配式建筑政策制定节奏和目标不及预期可能导致行业增速放缓。
20210308,水泥行业需求断崖式下滑或区域产能新增投产过多可能影响价格和盈利。
20210308,玻璃行业需求不及预期、玻璃涨价不及预期、原燃料价格大幅上涨等风险需关注。
20210120,建材行业整体需求旺盛，尤其是水泥和玻璃领域。尽管进入淡季，但市场需求并未减弱，呈现“淡季不淡”的特点。
20210120,水泥产量持续增长，主要受房地产赶工和基建投资拉动。
20210120,玻璃市场方面，虽然部分生产线复产，但由于转产其他产业的生产线较多，整体供给仍然偏紧。进入12月后，玻璃库存保持高速下降，价格持续上涨，尽管近期价格有所松动，但短期内玻璃价格仍将维持在高位。
20210314,"建材行业受到""碳中和""目标的影响，尤其是水泥和玻璃等高耗能行业，面临着新的挑战和机遇。"
20210314,玻璃行业存在供给端逻辑，表现为行业产能总量的受限和落后产能的退出。三类玻璃企业有望优先受益：一是以天然气为主要燃料的企业，其碳排放水平将显著低于以石油焦、重油、煤制气等为主要燃料的企业；二是碳中和预计带来光伏玻璃需求的扩容；三是建筑节能需求有望提升，节能玻璃渗透率加速上升，利好节能玻璃生产企业。
20210314,消费建材领域，碳中和将使低碳、环保要求进一步趋严，带来对绿色建材的大量需求。
20210314,水泥需求逐步启动，玻璃价格延续涨势。受安徽沿江熟料价格继续上调带动，长三角江苏、浙江等地熟料价格将开启第三轮上调。近期长三角地区阴雨天气较多，水泥需求尚未完全恢复，但得益于国外熟料进入量减少且东北地区尚未开窑，本次熟料价格继续上调或将对后续水泥价格回涨形成较强支撑。
