Date,Content
20190902,互联网家装公司如爱空间、万链、金螳螂家、速美超级家和全包圆等，主要通过标准化流程、较短工期和较低价格吸引消费者。这些公司之间的主要差异在于所选建材的品质、设计费和管理费的收取。
20190902,传统家装公司如东易日盛和业之峰，更注重个性化设计和施工质量，但工期较长，价格也相对较高。
20190902,全屋定制公司如索菲亚、尚品宅配和欧派等，主要提供家具定制服务，其拓展整装业务可实现一站式装修。
20190902,互联网家装公司和全屋定制公司在硬装方面的竞争力相对较弱，但在软装方面具有优势。
20190902,预计在未来几年里，全屋定制公司将仍以家具定制为主，与家装公司形成互补，其整装新业务会对家装公司产生部分替代效应，但难以形成有力竞争。
20190519,基建投资和房地产投资持续改善，其中房地产投资表现超过预期。
20190519,受节日因素影响，部分后周期行业增速在4月后有所回落。
20190519,随着竣工回暖，住宅全装修企业有望受益。
20191202,基建投资增速在10月份回落，主要原因可能是去年同期政策发力导致的较高基数以及今年前9个月专项债发行完毕而新增额度尚未到位。
20191202,房建和基建板块通常在四季度表现较好，主要原因是这些企业在四季度进行回款和确认收入的速度加快。
20191202,水泥价格在本月有所上升，可能对建筑企业的成本产生负面影响。
20191202,钢价方面，19年11月螺纹钢价格较10月底上涨，中厚板价格保持稳定，目前仍处于相对高位，这可能会给以钢材为主要原材料的建筑公司带来一定的成本压力。
20191202,园林板块的收入和业绩继续大幅下滑，主要原因是PPP清库及监管进一步趋紧，同时民营企业融资相对受限，现金流压力较大。
20191202,设计公司的收入和业绩下滑，主要是因为多数设计公司收缩了EPC业务的发展。
20190908,宏观政策环境变化影响行业景气度，导致固定资产投资及基建投资增速下滑，进而影响公司订单达成预期。
20180701,建筑装饰行业受到地产棚改政策收紧的影响，尤其是房建、装饰等子版块，跌幅明显。
20180701,国际工程子板块则受益于人民币贬值预期，涨幅居前。
20180701,在贸易争端影响下，国内市场对扩大内需的预期持续升温，基建、高端制造投资和消费升级成为主要手段。
20180701,国家大力支持房屋租赁市场发展和全装修政策，有利于家装业务快速发展，龙头企业的规模优势将进一步显现。
20190306,增值税下降对建筑行业产生普遍影响，尽管建筑业税率由10%降至9%，但原材料进项税由16%降至13%，降幅更大，可能导致进项税减少更多。
20190306,建筑行业上游为钢铁、水泥等原材料供应商，下游为房地产、政府等部门，建筑企业对上下游的议价能力相对较弱。
20190306,增值税率下调理论上可使建筑企业维持原合同价格并获得一定差价利润，但考虑到房地产商及政府部门话语权较强，建筑企业可能被迫降低合同报价。
20190306,建筑行业龙头普遍实行集中采购，近年来对材料商等逐渐强势，材料采购价格逐步下降。
20210228,钢结构公司连续多年实现快速增长，受益于政策催化带来的钢结构下游需求增加。
20210228,钢构公司订单增长较快，精工钢构、杭萧钢构订单增速均在30%以上，鸿路钢构订单增速略低，主要因为工程订单收缩，且2019年签订大订单导致基数较高所致。
20210228,部分装修公司的订单在一定程度上出现下滑，除疫情影响外，地产行业加强调控也是导致装修公司订单及业绩受损的主要原因。
20190106,行业景气度受到宏观政策环境变化的影响，可能导致行业整体发展放缓。
20190106,固定资产投资及基建投资增速下滑，可能影响公司的订单量，进而影响公司的业绩表现。
20180501,建筑装饰行业收入与盈利加速增长，主要原因是前期高增长订单向收入转化以及PPP等高毛利率业务占比提升，从而提高了盈利能力。
20200809,钢结构和混凝土结构呈现替代关系，随着混凝土价格和人力成本的上涨，钢结构的成本优势逐渐显现，预计“十四五”期间全国建筑钢结构产量将保持稳定增长。
20200809,公司在地产精装修领域的公装订单增速表现强劲，18年和19年上半年分别达到25%和23.7%，市占率提升的逻辑逐步得到验证。全年传统公装订单有望保持良好增长。
20180910,建筑装饰行业相对于上证综指呈现“先抑后扬”趋势，投资热情逐渐恢复，但近期受大盘走势影响有所下跌。
20180910,在地方政府严控隐性债务、各类融资平台及非标融资渠道收紧的背景下，建筑行业上半年普遍出现融资面偏紧、流动性紧张及偿债压力加剧等问题，新建和在建项目面临较大压力，对行业估值形成压制。
20180910,2018年上半年，“降杠杆”主基调对建筑行业的业务拓展产生较大制约，全社会信用收缩与社融增速下滑趋势逐步形成，对建筑企业业务拓展造成压力。
20180511,景观照明行业受益于城镇化与消费升级，夜游经济带来巨大市场空间。
20180511,大型活动推动全国景观照明市场发展，行业需求骤升。
20180511,2000-2006年间，城市照明工程建设推动景观照明设备生产企业及施工队伍发展壮大。
20180511,与IT产业、汽车产业及房地产业相关消费增长迅速，夜游经济成为城市建设重要分支。
20180511,照明行业上市公司通过外延并购整合行业，扩大业务规模，提高市占率。
20180511,景观照明工程行业具有前期投入资金规模大、回收时间长、资金周转速度慢等特点。
20180511,灯具、光源、材料、风格与设计方式随技术水平和人们生活方式的改变而变化。
20180511,西部大开发政策带动西部城市照明需求持续增长，为公司发展提供良好机遇。
20180511,若固定资产投资增速下降，景观照明工程订单总量可能快速下滑。
20190721,专项债放量有望助力后期基建投资回暖，重点关注前端设计检测龙头及低估值央企。
20190721,基建设计、部分区域基建龙头和钢结构等公司预计将实现较高的业绩增速，而基建央企和装饰龙头将保持稳健增长。
20190721,受PPP持续规范清理影响的园林公司业绩可能仍有所下滑。
20190721,宏观政策环境变化可能导致行业景气度下降。
20170418,房地产政策调控对地产商投资意愿的影响，以及商品房销售面积增速的下降。
20170418,建筑行业行情表现为国有建筑企业资产价格重估和民营企业投资机会。
20170418,制造业投资回升的原因，包括政策支持、大宗商品价格上涨和工业企业利润恢复性增长等因素。
20170418,房地产开发投资额增速的回升趋势及其原因，主要是政策去库存和商品房销售面积的改善。
20170418,基建投资与货币投放、政府财政支出和发改委批复的重大项目数量等因素有关。
20200303,生态园林行业经历了 2017 年以来的地方政府去杠杆、2018 年的信用收缩以及 2019 年龙头企业的控股权转让，导致行业供给端大幅收缩。
20200303,随着供给端的收缩，生态园林行业的供需环境得到改善，有利于幸存的企业实现“剩者为王”。
20190714,宏观政策环境变化导致行业景气度下降，这可能影响到相关公司的业务表现。
20200112,专项债发行大幅增长，推动建筑装饰行业需求提升；
20200112,环保压力加大，对建材生产及工地施工提出更高要求，供给端面临挑战。
20200112,专项债发行增长→建筑装饰行业需求提升；
20200112,环保压力加大→施工队伍管理、成本控制要求提高；
20180724,上半年，由于金融降杠杆和清理地方政府融资平台等政策影响，金融机构对融资平台的融资态度较为谨慎，导致平台融资规模大幅下降，基建项目受到资金约束，投资增速显著下滑。
20180724,这种状况可能导致基建行业供需失衡，从而影响到相关企业的经营状况和市场表现。
20190211,基建投资持续回暖，19年专项债发行提速，表明基础设施建设领域需求增加。
20190211,钢价方面，19年1月螺纹钢价格在连续回落后小幅上升，中厚板价格持续下降后平稳在低位，有利于建筑公司成本压力的缓解。
20190211,宏观政策环境变化可能对行业景气度产生负面影响，如固定资产投资及基建投资增速下滑可能导致公司订单不达预期。
20190401,受益于地产后周期，尤其是二手房交易额的增长，翻新装修需求有望回暖，这将使在一二线城市布局较好的C端家装类企业显著受益。
20190401,随着全装修比例的提高和相关政策的出台，B2B装修市场也将受益。此外，二手房市场的景气度回升也将带动B2C家装装饰市场的回暖。
20190401,报告选取了全装修业务占总营收比重较高的金螳螂、广田集团、全筑股份进行研究，发现这些公司的收入与地产相关指标存在一定的统计关系。
20190401,虽然地产开发商到位资金增速目前仍处于低位，但这并不是精装修业务回款压力的主要因素。由于传统精装修业务采用甲供材模式，且地产商在产业链中的话语权较高，导致下游装饰企业的回款压力较大。
20190401,定制精装业务的目标客户为毛坯房交付的小业主，通过与精装交付能力较弱的中小开发商合作，下游装饰企业公司在定价权方面具有较强的优势，毛利率有望优于传统精装。
