Date,Content
20190217,房地产行业的销售和新开工增速出现错位，销售已转负，但新开工仍保持两位数增长。
20190217,土地成交面积增速快速走弱，预计将在明年2季度传导至新开工的走弱或转负。
20190217,新开工增速转负时，施工类投资将出现明显下行，对地产上游影响较大。
20190217,宏观经济整体下行压力较大，政策宽松的拐点或将出现。
20200201,20年春节提前导致1月销售额增速转负，部分房企保持销售稳健增长，可能与年底房企提前达成全年销售目标有关。
20200201,部分房企在年底为达成销售目标加大推盘力度，可能导致1月销售略有疲软。
20200201,建议关注房企销售持续性，上半年或暴露销售下行风险。
20200201,新冠事件冲击可能对2月销售影响更大，或加速行业去杠杆和销售下滑。
20200201,“因城施策”逐步清晰，推动房地产板块估值修复，但估值修复可能只是开始。
20170717,二手房市场的降温及价格调整反映了调控政策的成效，这可能导致信贷资源重新分配。
20170717,2016年，二手房市场的快速发展挤占了大量信贷资源，促使居民加大杠杆，但资金未能流入开发投资和实体经济。
20170717,这一现象导致了二手房滞销、价格下跌以及新房热销、价格稳定的局面，从而影响了房地产开发企业的盈利能力。
20170416,楼市需求收缩，可能导致销售增长不及预期，进而影响开发商的周转能力和盈利能力。
20190815,房地产行业7月份数据显示，房地产开发投资单月增速平缓下滑，预计土地投资将持续回落，原因可能是资金紧张。
20181103,2018年房企整体净利润大幅上涨，主要受2015-2017年房地产项目集中销售结转收入影响。
20180715,报告期内，可结算项目减少，且结算项目多为低单价和低毛利率项目，这可能是影响房地产公司业绩的主要原因。
20190726,房地产业对上下游产业具有推动作用，涉及钢铁、水泥、玻璃等多个领域。
20190726,商品房销售面积同比呈下降趋势，预计一二线与三四线城市将继续分化，政策边际收紧预期对新开工意愿形成压制。
20190726,新开工增速回落，受销售预期走弱和政策支持影响。
20190726,施工持续同比维持高位，受2019年复工支撑，但新开工下降将影响施工。
20190726,房地产开发投资增速回落，主要受土地购置费滞后效应影响。
20190726,房地产投资虽回落但仍在高位，主要受施工面积增速较高支撑。
20190726,行业营收持续增长受益于楼市小阳春和部分城市人才政策、公积金及房贷利率放松。
20190726,行业销售下滑，盈利能力减弱，收益率下降，未来ROE的提升仍需依靠销售净利率及总资产周转率的拉动。
20190726,业绩增长原因主要为项目结算收入增加和毛利率增加。
