Date,Content
20190610,国内固定资产投资增速放缓，影响了下游企业对中游机械设备的投资需求，导致机械板块订单和业绩增速低于市场预期。
20190610,铁路投资保持稳健，表明我国基础设施建设的重点仍在继续，对铁路设备及相关机械设备的需求稳定。
20190610,新能源布局多项目，说明随着新能源产业的快速发展，对相关机械设备的需求也在持续增长。
20190610,机械行业整体发展受到宏观经济环境和政策调整的影响，需求端和供应端需要关注市场变化，以适应不断变化的市场环境。
20191020,研报关注机械设备行业，分析原材料及零部件成本波动对行业的影响。
20191020,成本受市场供求、供应商变动、替代材料可获得性、供应商生产状况及自然灾害等多因素影响。
20191020,供应商议价能力在成本控制中起到关键作用，企业应关注供应商稳定性以降低风险。
20191020,零部件供应商的区域集中度较高，企业应关注地域风险对供应链的影响。
20191020,机械设备行业需关注新技术、新材料的发展趋势，以降低成本、提高竞争力。
20200920,疫情导致居家消费需求增长，其中升降桌相关企业受益于居家办公的刚性需求，实现显著增长。
20200920,从2020年下半年开始，居家可选消费品（如电动沙发、电动床等）需求有望大幅上升，进一步推动产业链相关企业订单增长。
20200920,居家消费市场的变化对升降桌和家居可选消费品企业产生不同影响，呈现出明显的供需关系变化。
20200920,随着疫情逐渐得到控制，居家消费市场需求有望逐步回归正常，但刚性需求仍将支撑相关企业的发展。
20170405,煤炭行业供给侧改革推进，煤炭价格反弹，使得煤炭企业盈利状况明显改善。
20170405,随着盈利改善，煤炭企业有望增加对煤机设备的投资，推动煤机设备行业的需求增长。
20170405,金牛研磨的产品包括砂纸和砂布两大品类，广泛应用于多个行业，如金属、木材、皮革、玻璃、塑料、陶瓷等制品的磨削与抛光。
20170405,涂附磨具产品涉及航天、航空、汽车、船舶、机床、化工、建筑、冶金、能源、家电、电子、家具等行业，显示出其应用领域的广泛性。
20170917,钢材价格上涨导致叉车毛利率下降，上半年公司毛利率同比降低约5个百分点。这说明钢材价格的波动对机械设备行业具有较大影响，价格上涨会降低企业利润。
20170917,受益于气体业务下游复苏，液氧、液氮、液氩价格上半年出现2-3倍的增长，带动公司业绩增长。这表明气体领域的发展对公司业绩具有积极意义。
20170917,天然气分布式发电发展带动余热锅炉需求提升。由于国家节能环保政策推动，天然气分布式发电迎来发展机遇，作为核心设备的余热锅炉市场需求进一步增长。
20170917,2016年供给侧改革带动煤炭、钢铁、水泥等价格上涨，进而促进大型工程机械产品销量。这说明行业政策调整对工程机械市场需求具有显著影响。
20180909,天然气基础设施大力发展，勘探储运设备充分受益。在能源自主可控战略下，三桶油资本开支加速，驱动订单大幅增长。
20180909,电池安全性、能量密度、稳定性要求日渐提高，将加速电池企业集中化。设备企业面临下游议价能力减弱的压力，但优质企业可享受客户市占率提高的利好。
20180909,青海液化天然气市场起步晚，产量增速仍远不能满足巨大的消费缺口，市场潜力巨大。
20180909,集装箱产量在全球经济、贸易服务背景下迎来新一轮景气。我国作为集装箱主要生产基地，2018年6月集装箱产量同比增长42%。
20180909,集装箱海运呈现量价齐升态势，船运供需得到较好改善，闲臵运力并不多。
20171205,环保和安全监管趋严推动设备改造升级：国家政策对环保和安全监管的重视，使得相关行业面临设备改造和升级的需求，为机械设备行业带来增长动力。
20171205,天然气重卡销量爆发式增长：受环保政策和油价上涨影响，今年1-9月天然气重卡销量同比增长5倍多，超过2014年全年数据。
20171205,气价上涨影响天然气车成本优势：近期北方多省市天然气价格大幅上涨，使使用天然气重卡的车主面临较大压力。
20171205,机械设备行业风险：经济发展不及预期、产业政策推动和执行低于预期、成本向下游转移程度低于预期等因素，可能影响机械行业的盈利能力和估值。
20171205,关注低估值、大市值和龙头公司：在机械设备行业中，可关注具有低估值、大市值和龙头地位的公司，以获取更高收益。
20170327,机械行业需求来自更新需求、施工需求以及污染排放要求升级的引致需求，与宏观经济运行周期关联密切。
20170327,机动工业车辆是企业物流系统中物料搬运设备的主力军，行业下游应用广泛，受单一领域影响较小。
20170327,行业先行品种挖掘机强势回暖，其他产品如推土机、装载机和汽车起重机等也迎来景气加速复苏。
20170327,行业需求将继续回暖的原因包括：基建发力、供给侧改革、一带一路倡议以及更新需求逐步释放。
20170327,供给或成为下一阶段行业供需格局的重要影响因素，产能不足可能制约销量创新高，不排除出现一定程度的涨价或断货。
20170327,内燃叉车回暖主因是工业企业需求复苏和环保加码，环保驱动叉车步入升级换代周期。
20170327,行业高速增长源于电商、快递、冷链等行业驱动仓储叉车需求高增长，电动化大势所趋，以及国内电动仓储叉车市占率较低。
20170327,行业发展主要矛盾在于供给，外部政策及内生投资回报率是关键因素。
20181014,研报提及美国对中国相关产品进口限制，这有利于推动我国制造业的进口替代，从而提升国内机械设备行业的竞争力。
20181014,受贸易反击策略影响，我国对美国大量进口商品相关产业的关注度提高，预期供给缺口可能推升相关产品价格。
20181014,机械设备行业属于中游行业，若经济发展不及预期，可能导致行业产品需求下降，从而影响行业整体发展。
20181014,研报未提及具体个股，而是关注整个机械设备行业的发展趋势和供需关系。
20201121,光伏设备：由于硅片环节盈利能力较好，驱动组件厂商向产业链上游延伸，参与硅片扩产潮。大硅片趋势带来存量产能更新，如中环、晶科等企业受益。
20201121,工程机械：基建投资、更新需求、人工替代等因素拉动工程机械需求增长。
20201121,集装箱供应链：全球物流效率下降，箱体回流受阻，导致集装箱紧缺。班轮公司优先调回空箱，以高代价获取新箱，使得集装箱价格上涨。
20201121,DRAM市场：受到服务器业者库存水位偏高影响，第三季度服务器DRAM采购力道薄弱，导致整体DRAM价格下跌。
20201121,LFP材料：LFP材料企业因上游碳酸锂涨价导致成本上升，近期发函涨价，涨幅在1000-3000元/吨。若明年5G基站、新能源乘用车等下游市场保持对LFP电池的需求增长态势，叠加碳酸锂供给偏紧，LFP材料或将出现短期供应紧张，为其价格继续上涨提供动力。
20210127,基恩士采用“客户密着型”直销模式和“提案型”产品研发模式，这种模式推动了产品创新和客户服务走在行业前列。
20210127,销售部门与研发部门的“思想碰撞”有助于深入挖掘客户潜在需求，进一步推动产品研发与创新。
20210127,基恩士的创新能力和对客户需求的敏感度使其在机械设备行业中具有竞争优势。
20210127,研报提到的“大国重器”系列可能涉及我国高端制造业的发展和政策支持。
20181224,日本数控机床出口走弱，11月出口至中国大陆的数控机床同比大幅下滑67.0%，主要原因是国内市场需求减弱。
20181224,出口中国的数控机床单月增速自2018年3月起连续为负，与国内汽车行业销量加速深跌的趋势一致，表明全球制造业产能投资放缓。
20181224,供需关系发生变化，日本数控机床出口市场受到冲击，进一步反映出全球制造业市场需求疲软。
20181224,受到国际贸易环境变化、国内市场需求减弱等多重因素影响，数控机床行业面临较大压力。
20190701,机械设备行业：研报指出，5月份挖掘机销量出现单季度下滑，但全年销量仍有望稳中有升。原因在于2017年和2018年同期销量基数较高，2019年偶尔下滑在预期之内。
20190701,供给方面：石油输出国组织（OPEC）及包括俄罗斯在内的盟国将于7月1日举行会议，讨论延长减产以支撑油价。若G20会议达成有利于全球经济和石油需求的协议，将激发欧洲亚洲市场对原油的终端需求，推升油价。
20190701,需求方面：关注中美贸易摩擦缓解情况，若贸易摩擦缓解，全球原油需求有望回暖，油价有望重新回到较高水平。在此背景下，建议关注民营油服龙头杰瑞股份。
20190701,动力电池价格：下半年价格维持下滑趋势，主要因为主机厂价格压力向上游传导，正极、隔膜等主材价格下滑，以及CATL等主流动力电池企业产能进一步释放，供给增多。
20190701,锂电池行业竞争：随着补贴幅度进一步下滑，锂电池行业竞争加剧，缺乏技术积累及成本控制能力的中小企业可能遭淘汰，头部电池企业市占率有望进一步提升。
20191226,光伏设备行业受益于全球平价上网时代的到来，以及新兴市场如越南、乌克兰、墨西哥等国家对光伏产品的需求增长。
20191226,由于LOCE（Levelized Cost of Electricity，平准化电力成本）的快速下降，德国、西班牙等国家已实现发电侧平价上网，推动了光伏产品在海外市场的需求增长。
20191226,2019年1-11月，我国光伏组件出口量同比增长68.95%，达到59.06GW，显示出光伏产品海外需求的迅速扩大。
20191226,技术迭代加速，有利于光伏设备行业的发展，降低了光伏产品的成本，进一步推动光伏发电在全球范围内的普及和应用。
20200419,工程机械行业：受疫情影响，上下游产业链紧张，企业生产经营成本增长，导致涨价现象扩散。其中，三一挖机、泵车等产品价格上调5%-10%。
20200419,销量增速超预期：预计2020年挖掘机销量同比增速达10%以上，工程机械开工旺季加速来临。
20200419,更新需求：2020年更新需求约为12.66万台，占内销比例超过50%，其中悲观情形下，中挖和大挖更新需求占内销比例超过100%。
20200419,财政压力：受疫情影响，财政收入减少，制约公共性财政支出，影响基建投资。
20200419,房地产调控：政府土地出让收入增速下降，本年度政府性基金收入同比下滑，对工程机械行业造成压力。
20200419,油价波动：油价下降使燃油车在4年生命周期内的经济性有所上升，但整体影响不大。
20170710,机械设备行业销量增长：中大挖机销量6月同比增长，显示下游领域如资源开采、矿山等需求依然旺盛。
20170710,更新和补库存驱动：中大挖机销量增长还与存量更新和补库存有关，进一步推动行业景气向上。
20170710,行业周期性回暖：挖机销量增长反映出行业周期性回暖，市场对机械设备的需求逐步提升。
20170710,技术创新推动：随着技术创新，中大挖机在性能、效率等方面得到提升，受到市场欢迎。
20170710,政策利好影响：政策对基础设施建设和矿山开采等领域的支持，为中大挖机市场提供了良好的发展环境。
20170604,煤炭行业：国内原煤产量增长，煤价回调，去产能和有序释放优质产能将使煤价长期在合理区间运行，煤企利润总额仍将增长，有能力进行新建煤矿产能和设备更新。
20170604,煤机装备需求复苏：神华和中煤能源增加煤炭业务资本开支，中煤能源煤机装备产值大幅增长，预计十三五期间将有约12亿吨等效新建产能，煤机装备需求回升。
20170604,原油行业：OPEC减产协议延长，有助于原油供需再平衡，预计第三季度原油供给出现缺口，油价有望冲高65美元/桶。
20170604,天然气行业：天然气价格市场化改革有望落地，国内天然气供大于求，天然气价格有进一步下滑可能，判断天然气经济性将得到改善，重点看好天然气交通产业链和分布式能源。
20190825,研报提及机械设备行业的供需关系变化，康耐视作为行业领军企业，随着客户环境和发展策略的改变，从经销模式转向直销模式，以满足大客户需求和拓展优质直销渠道。
20190825,由于较低的气温升高，美国48个州的电力消耗需求减少约60亿立方英尺，而住宅和商业需求增加20亿立方英尺，抵消了部分影响，反映出能源消耗格局的变化。
20190825,当前硅料市场供需关系稳定，但预计九月硅料供应将较八月增加，可能对市场价格产生影响。
20190825,硅片价格本周无明显变化，下周将揭晓九月的价格。考虑市况、单晶电池片价格及单多晶电池片产线切换等因素，预估单晶硅片价格将持平或降价。
20190630,机械设备行业：中美关系边际改善带动市场情绪恢复，积极布局逆周期龙头和先进制造。
20190630,电池片降价：尽管电池片已多次降价，但PERC电池仍保持较好的盈利水平，预计硅片价格将持续保持坚挺。
20190630,国产替代进口：在中美贸易摩擦背景下，国内油服公司和石油设备公司的中期成长性与油价相关性将逐步减弱，表现为更强的alpha属性。
20190630,加氢站建设成本：关键设备受制于进口，特别是压缩机，导致成本居高不下。
20190630,高温质子交换膜：工作温度较高，可降低催化剂铂碳负载量，提高CO耐受性，简化水热管理系统，降低成本。
20190630,国产替代进口加速：国产主机厂在技术难点攻克、成本降低、规模效应、品牌力提升等方面取得突破，加速替代进口。
20190630,供需关系：单晶扩产节奏与下游需求增长基本保持同步，预计硅片价格将持续保持坚挺。
20180305,主机厂商中大挖液压泵阀产品供应紧张，说明行业整体产能不足，市场需求较大。
20180305,国内主机厂商供应紧张，为公司中挖液压泵阀产品实现量产创造了机会，反映出行业竞争格局的变化，企业有望借助市场空缺提升市场份额。
20180305,供需关系失衡，可能导致液压泵阀产品价格波动，对公司业绩产生影响。
20180305,高端制造领域需求持续增长，带动液压泵阀产品市场需求，有利于公司进一步拓展业务。
20180305,新技术的发展和应用，如人工智能、物联网等，将助力机械设备行业提升生产效率，降低成本，提高竞争力。
20200921,国内激光器下游需求结构中，切割需求占比超过70%，2014-2020年光纤激光切割机渗透率快速提升，带动激光器需求快速释放。但判断国内激光切割机渗透率已超过40%，进一步提升依赖于降价和功率结构升级，空间相对有限。
20200921,在持续降价背景下，激光器企业面临“增量不增收”和“增收不增利”的困境，尤其在行业下行周期，业绩压力更加明显。
20200921,定制化项目竞争格局相对较好，盈利能力较高，占比提升将有助于激光器企业盈利能力改善。但定制化项目的缺陷是其收入放量速度相对较慢。
20200921,预计激光器行业下半年的供给相对较为紧张，降价压力有望缓解。
20190115,发改委城轨审批加速，推动“新基建”景气向上，预示未来机械设备行业需求增长。
20190115,公司在2018年针对部分业务进行提价，有选择性地放弃低毛利客户，预计非标油缸收入增长40%，毛利率提升至33%。
20190115,物联网表占比提高及技术升级带动民用表高毛利率持续，预计行业整体毛利率有所提升。
20190115,"12月出口增速回落，但仍保持在近1,800台的高位，表明国际市场对我国机械设备的需求稳定。"
20190115,国内市场大挖、中挖、小挖销售情况分化，中大挖同比负增长可能与去年同期基数较高及中挖受地产投资预期下行影响有关。
20190115,LED厂晶电与隆达2018年营收双双下降，受多重因素影响，但与机械设备行业关联性不强。
20180618,房地产开发投资超预期，对冲了基建投资增速放缓对工程机械需求的影响。
20180618,农村小基建的景气向上，虽未纳入宏观基建数据，但也为工程机械销量提供了额外需求。
20180618,今年以来，工程机械销量数据持续超预期，主要是由于房地产开发投资和农村小基建的拉动作用。
