Date,Content
20200101,重卡行业在2019年继续保持增长，全年销量达到117万辆，创历史新高。
20200101,市场预期差的主要原因是物流重卡保有量持续增长，但市场对此重视度不足。
20200101,2018年物流重卡销量下滑主要是由于17年治超带来的一次性购置需求造成的较高基数，而非行业长期趋势。
20200101,通过保有量销量测算模型预测，2020年和2021年的重卡销量有望超过110万辆。
20170912,乘用车终端优惠加大，主要原因是市场竞争激烈和进入销售淡季。
20170626,新能源汽车市场回暖，锂电池需求增加，但政策补贴退坡导致电池企业面临较大降价压力，整车企业与电池厂之间的供需关系出现反转。
20170626,电池厂商承受多重压力，包括原材料价格上涨、整车厂压价和技术路线调整，使得电池企业的降成本压力增大。
20190327,新能源汽车市场销量增长迅速，龙头车企表现尤为突出，其销量增长带来的规模效应有望对冲单车盈利下滑的压力。
20190327,专用车补贴新政对带电量大的专用车产生一定影响，补贴上限较2018年有明显下滑。
20200712,6月份汽车行业产量同比增长11.2%，表现优于批发和零售数据，原因可能是去年国五升级国六期间，车企产量节奏放缓，导致基数较低；同时，终端国五低价甩货使得零售基数偏高。
20190616,新能源汽车市场受政策补贴退坡及国五国六切换影响，5月汽车销量下滑16.4%，新能源汽车增速回落。
20190616,新能源商用车在补贴过渡期结束前产销提前释放，进一步加剧了新能源汽车销量的下滑。
20191103,汽车市场进入普及后期，行业增速下降，受宏观经济下行和销售刺激等因素影响，汽车销售短期承压。
20191103,汽车销售对稳经济重要性提高，下半年有望受益于信贷回升及销售刺激实现边际改善。
20191103,汽修连锁行业近年涌现，吸引众多资本，但因过分关注规模扩张，忽视供应链、人才、管理、服务等方面基础建设，导致同质化、低水平竞争，难以持续发展。
20180212,新能源汽车市场1月表现强劲，销量增速超市场预期，原因包括去年同期的低基数、双积分政策的推动以及消费者对补贴可能进一步下调的担忧导致的提前购车行为。
20180113,新能源汽车销量超预期，推动中上游企业业绩回升。
20180113,限超限载治理导致单车运力下降，刺激物流类重卡需求上升，重卡行业上半年表现亮丽。
20180113,环保治理加强、油价上升等因素推动天然气重卡销量迅速攀升，重卡销量保持高速增长。
20180113,四季度重卡销量增速放缓，10月单月重卡销量增速下滑至36%，11~12月单月销量出现同比下滑。
20180716,汽车行业整体压力较大，主要原因是原材料价格高位和公司战略实施导致的成本和管理费用增加。
20180716,6月车市受到酷暑天气和不利政策的影响，到店客流减少，市场环境不佳。
20180716,各大品牌半年度冲量，经销商库存压力大，车型价格竞争激烈，单车利润低。
20180716,6月客车销量同比回落，主要是新能源客车补贴过渡期透支销量及过渡期后补贴严重下滑所致。
20180716,6月货车销量同比增长，主要是工程重卡销量持续火爆推动。
20180611,汽车行业受多种因素影响，如购置税优惠政策取消、贸易战、合资股比放开等，各细分板块均出现明显跌幅。
20180611,乘用车、商用车、零部件、销售及服务板块年初至今跌幅分别为-7%、-15%、-13%、-7%。
20180611,部分车企为应对市场冲击，采取降价策略，但市场情绪仍处于低位，个股分化明显。
20180611,关税下调至15%将有效降低进口车购买成本，对进口车市场及重点细分市场销量增长带来积极影响。
20180611,增值税下调有利于降低汽车整车和零部件企业在生产、流转及消费等环节的税负，改善企业盈利能力，中长期有利于行业健康发展。
20180611,汽车消费升级带来单车配套价值量的提升，A级车销量增速较快。
20180611,零部件企业海外设厂的原因包括运输半径限制、就近服务客户、避免关税等政策带来的壁垒。
20180611,动力电池组元的关键在于正极材料，负极材料的改良也具有一定作用；电解液和隔膜需保证电池的高能量密度以及综合性能满足使用需求。
20180611,方壳电池、圆柱电池和软包电池各有特点，电池最终成组后的系统能量密度和综合性能是决定三者未来市场占有率的关键因素。
20180611,电池系统对温度控制的要求明显提升，空调系统对节电的要求也明显提升。
20171222,2018年乘用车市场受1.6L排量乘用车不再享受购置税减免优惠政策和小排量乘用车销量下滑影响，整体销售零增长。
20171222,新能源客车补贴退坡导致大中客单车利润下降，但客车企业通过加强成本管控、转嫁成本、申报新产品等方式应对补贴退坡，使得降幅相对乐观。
20171222,新能源客车市场受新能源客车补贴政策调整影响，单车利润下滑，预计明年新能源客车行业将面临洗牌。
20171222,重卡市场需求逐步饱和，受煤炭公路运输、环保限产等政策影响，销售下滑，与PMI指数高度相关。
20171222,新能源专用车补贴大幅退坡，下游需求受影响，预计明年运营车需求将受挤压。
20171222,汽车整体行业增速将下滑，整车销售不景气将带动上游零部件销售端下滑，A股汽车零部件每股收益也将趋势下行。
20200519,欧美汽车市场需求下降：由于全球公共卫生事件的影响，欧洲和美国地区的汽车需求大幅下降。
20200519,欧美汽车产业集中度高：欧美地区的汽车制造业主要集中在欧洲、美国和日本汽车制造商手中，这些企业在当地市场占有较高的份额。
20180506,重卡行业在2018年3-4月表现超预期，主要原因是年初基建项目开工，工程重卡出现集中采购。
20180506,考虑到物流重卡治超政策影响持续、排放标准升级叠加重卡更新换代高峰等因素，预计重卡行业上半年的景气度有望持续，全年销量韧性有望超预期。
20180506,受治超新政实施、基建投资加速等多重因素影响，2017年重卡行业延续高增长。
20180506,预计重卡行业景气或具备一定持续性，公司重卡及动力总成业务有望继续受益。
20210227,重卡销量预计在Q1继续保持高增长，原因包括国内经济复苏和低基数效应。Q2高景气度有望维持，国五到国六的切换是主要原因。
20210227,中大客车2020年需求受到疫情影响，主要是地方财政支出方向和节奏的改变影响了公交客车销量。
20200303,受新冠疫情影响，2020年2月开工复工延迟，导致重卡购置需求暂时受到压制。
20200303,在非典疫情期间，社会生产受到抑制，重卡销量同比出现下滑，4月和5月同比分别为-5%和-25%，低于全年平均同比增速+5%。
20200303,除疫情相关运输和生活必需品运输外，其他运输细分领域复工较慢，影响重卡市场需求。
20181028,新能源汽车市场逐步回暖，政策推动各地发布新能源车三年规划，运营车趋向电动化。
