Date,Content
20171225,煤炭行业：研报指出，动力煤价在天然气供应紧张和四季度供暖需求支撑下，仍有上涨空间。同时，焦炭价格在连续下跌后出现回升趋势。
20171225,供需关系：煤炭产能过剩局面未实质性改变，但在区域能源结构改革和供给侧改革推进下，煤炭价格预计将维持在相对稳定区间波动。
20171225,因果关系：供给侧改革对煤炭产量控制力度，成为影响煤炭供需状态的最主要因素。未来两三年内，先进产能的投产将影响供给格局。
20171225,投资建议：密切关注煤炭行业供给侧改革的新政策及执行力度，以及库存等变化，在煤炭价差中寻找投资机会。
20200227,煤炭开采行业四家公司（西煤、潞安、淮矿、山煤）的营运能力分析：淮矿和山煤总资产周转率较快，主要得益于其贸易业务量大、非流动资产少。
20200227,资源禀赋方面：西煤煤炭可采储量和开采年限具有优势，煤种以稀缺炼焦煤为主；淮矿和潞安原煤产能规模较大，煤种分别为瘦煤、贫瘦煤和贫煤，以及喷吹煤和动力煤；山煤国际煤种以动力煤为主，售价偏低但开采成本低。
20200227,业务经营情况：淮矿煤种和靠近消费地优势使得吨煤价格最高，西煤吨煤毛利最高，山煤凭借低成本优势使得煤炭开采业务毛利率最高；非煤业务方面，山煤以煤炭贸易为主，其他三家以焦炭为主，对利润影响较小。
20200227,煤炭价格上涨推动业绩上涨：淮北矿业前三季度业绩增速14.51%，主要是公司产品焦煤价格上涨所致。
20170814,煤炭行业供需关系：动力煤价格受高温天气和运费上升影响，存在短期上调空间，焦煤价格部分品种已开始回升。
20170814,政策影响：国家将调控煤炭价格，使其稳定在常态区间波动，预计煤炭企业存在一定盈利空间。
20170814,产能淘汰：330生产天数政策不变，置换、淘汰落后产能速度加快，但供给端不会大幅缩量。
20170814,需求端变化：火电、钢铁、化工、水泥四大主要需求端未来整体对煤炭的需求量将逐步下滑。
20170814,行业前景：受环保及可持续发展背景下新能源替代影响，煤炭行业长期景气度较差。
20181117,产地煤炭价格小幅下降，山西大同地区动力煤普遍下降5元/吨，陕西神木烟末煤价格降幅4元/吨，反映出煤炭市场供应充足。
20181117,10月产量增速较快，主要是由于去年同期基数偏低，综合来看，产量增速仍然有限，供给端压力不大。
20181117,进口煤平控预期强烈，有望支持动力煤价格。供暖期到来，需求回升，进口煤受限，有望支撑动力煤价格回升。
20181117,焦炭供给呈现收缩格局，供暖期错峰生产来临，焦炭供给难有增量。限产或错峰生产仅为短期扰动，去产能将对供需结构产生深远影响，利好焦炭行业长期投资。
20181117,喷吹煤作为焦炭的主要替代物，在焦炭价格上涨时也会随之上涨，利好喷吹煤龙头潞安环能。
20181117,澳洲峰景矿硬焦煤价格环比上涨2美元，预计将带动国内焦煤价格上涨。
20171023,煤炭行业供需关系：港口囤货贸易商开始抛售，预计月底安检放松产量释放，煤价承压。由于冬季雨雪天气增加长期堆存煤炭自燃风险，部分贸易商已经开始抛售，煤价开始尝试小幅下跌。
20171023,煤炭产能释放：下半年持续新批新建产能的释放，煤炭供需环境将会偏宽松。目前“三西”地区联合试运转产能近3.2亿吨，已经形成实际产量，后期产量将持续释放。
20171023,焦煤市场变化：受钢厂焦化厂限产影响，焦煤需求萎缩，国内焦煤价格预计将大幅下跌。澳洲焦煤价格近期止跌企稳，但国内市场受蒙煤进口增加影响，预计国内焦煤价格也将大幅下跌。
20171023,港口库存压力：港口地区的高位库存已经影响到港口的正常运转，港口开始组织下游煤炭需求方拉运，造成短时间内运力需求上升，海运费价格上涨。
20171023,政策影响：临近年底，2018年煤炭贸易长协合同谈判启动，政策导向降低并稳定煤价意图明显。冬季雨雪天气增加长期堆存煤炭自燃风险，部分贸易商开始抛售，预计月底煤矿安监力度放松，煤价承压。
