Date,Content
20180701,人民币贬值对苹果产业链公司有积极利好，降低了苹果在中国的采购成本。
20180701,全球硅片紧缺情况可能在2020年得到缓解。
20180701,二极管市场出现全面供不应求现象，价格有望持续走高。
20180701,MLCC、片阻、铝电解电容等产品价格上涨，主要原因是供给端受限、环保问题和功能增加等。
20180701,智能手机销量萎靡，但被动元件仍出现涨价，表明供应端存在成本压力和供应紧缺问题。
20180701,汽车智能化及电动化发展速度快，对MLCC及功率器件需求大幅增加。
20180701,MCU市场供应出现短缺，芯片报价持续大幅走扬。
20180701,面板价格下跌，但跌幅逐渐收敛，部分尺寸面板价格有望止跌回稳。
20180701,电视面板出货量预计在今年第二季和第三季创下10年来高点。
20180701,压力传感器销售额主要集中在手机和智能型手机，降低成本为主要考虑因素。
20180701,功率元件厚度对效能最佳化至关重要，IGBT能否达到最佳效能需关注顺向饱和电压和截流损耗等指标。
20190622,贸易战可能导致关税上升，进而影响电子元器件行业的生产成本。
20190622,中国代工市场人工成本逐渐上涨，给电子元器件行业带来一定的成本压力。
20190622,随着上游产能的逐步释放，公司订单执行能力得到改善，有望缓解环保限产带来的影响。
20190622,电容器价格下降可能影响公司利润，需关注其下降幅度是否超出预期。
20190622,上游原材料市场供给的不稳定可能对电子元器件行业产生影响。
20190716,电视产业面临的问题：低价导致低利润；品牌集中度低，话语权分散；产品同质化；需求萎缩。
20190716,液晶显示器背光技术发展史：CCFL（冷阴极荧光灯）→LED（发光二极管）→QLED/mini LED→micro LED。
20190716,CCFL背光技术特点：亮度高的优点和功耗大、厚度高的缺点。
20190716,LED背光技术的优势：取代CCFL背光技术，具有更高的能效和更薄的厚度。
20180109,摩尔定律推动芯片成本下降：根据摩尔定律，每18-24个月，每平方英寸的晶体管数量会翻一番，这显著推动了芯片成本的下降。
20180109,广泛的产品组合覆盖所有主要应用：该公司的产品组合涵盖了所有主要应用领域，这是其成功的关键因素之一。
20180109,多元化的客户群：该公司的前五名客户收入贡献不到20%，没有单个客户的收入超过10%，这使得买家的讨价还价能力降低。
20170326,行业整体面临景气度下滑的风险，可能导致市场需求减弱，影响整个行业的盈利能力。
20170326,原材料价格大幅上升可能对电池企业的成本造成压力，影响其利润空间。
20170326,新技术渗透不及预期可能影响行业的发展速度和市场份额。
20170326,产品价格快速下滑可能导致企业盈利水平下降，影响其经营状况。
20170326,行业竞争加剧可能导致市场份额重新分配，部分企业面临较大的竞争压力。
20180716,面板价格触底回升，消费旺季来临，需求增长，显示面板行业供需关系改善。
20180716,DRAM和NAND市场全年供不应求，价格上涨，存储供应商盈利能力增强。
20180716,由于产能扩充滞后于需求增长，DRAM与NAND长期供不应求。
20180716,智能手机升级、5G设备普及和汽车电子化推动陶瓷电容器需求增长，供求紧张，部分厂商如村田制作所和太阳诱电通过涨价转嫁成本压力。
20200830,面板价格上涨势头强劲，推动了行业营收的持续增长。
20200830,面板价格在去年三季度进入了上涨周期，但在今年第二季度由于疫情原因价格略有降低。
20200830,中大尺寸面板的需求增加，价格再次进入上涨周期。
20200830,根据涨价速度趋势判断，此次价格上涨周期将持续一至两年，涨幅将超过上一轮。
20200830,大尺寸面板价格在一季度因疫情加速涨价，二季度市场需求减少，价格回落。
20200830,四季度虽然需求端可能会面临下行压力，但由于韩企退出时间集中在四季度，面板价格将继续上涨。
20170716,记忆体IC、面板显示屏幕等零组件因供需失衡导致价格持续上涨，其中iPhone8采用全面屏面板、改变指纹识别方案，以及HOV等国产手机全面进入全面屏设计，可能导致产能更迭、零组件缺料和出货时程递延等问题。
20170716,受日厂关停部分MLCC产线和需求增长影响，台湾被动元件大厂国巨提高部分MLCC及R-Chip售价，涨幅达15~30%。
20170716,"汽车电动化大势所趋，宏发股份高压直流继电器在单车应用上的价值量有望提升至2,000~2,500元。"
20170716,铝电解电容产业向中国转移趋势明显，国产替代是大势所趋，国内产业将进一步整合，艾华集团综合实力提升，有望在更多市场取得突破，实现快速增长。
20170716,本季度为传统电子产品出货旺季，内存业界预估缺口将达2~3%，美光供货缩减可能导致缺货蔓延至第4季度。
20200621,智能手表市场需求在疫情期间保持增长势头，显示出该行业的韧性。
20190218,半导体行业整体在2019年出现了衰退，其中Nvidia受挖矿机芯片业务下滑影响严重，而苹果供应链也受到了智能手机竞争力不足的影响。
20190218,然而，前20家晶圆代工的旗舰型客户在1Q19的表现相对较好，环比衰退仅为7-13%，同比衰退为3%，明显优于晶圆代工行业的整体表现。
20200607,TWS 耳机在各大电商平台受到大力促销，以刺激整体需求。
20200607,随着镜头升级，高端镜头对产能的需求增大，但由于其较低的良率，实际上降低了供给端的产能。
20200607,目前，需求持续攀升，而供给端产能紧张，导致供需缺口不断扩大。
20200518,随着国内疫情得到控制，手机市场需求逐渐恢复，推动相关产业链公司业绩改善。
20200518,国巨公司4月份业绩大幅增长，主要受益于中国厂区复工及产能利用率提高，显示出国内市场需求的逐步回暖。
20190720,存储芯片价格短期内大幅上涨，尤其是DRAM芯片，一周内涨幅达到15%。
20190720,此次价格上涨可能与韩日贸易争端导致的全球供应中断有关，三星和SK海力士作为全球主要的DRAM和NAND Flash供应商，可能受到影响。
20190720,需要注意的是，此次价格上涨主要发生在现货市场，由于大部分科技公司通过中长期合同进行采购，现货市场在存储芯片领域的占比不到十分之一。
20190120,随着像素提升，单像素感光面积减小，可能导致在光线较暗环境下，画面变暗，曝光不足。
20180310,当集成电路市场需求减少时，半导体市场景气度降低，集成电路生产商可能会暂停扩产，并停止购买半导体设备，这将对上游半导体设备市场产生负面影响，导致订单急剧减少。
20190729,NAND Flash行业库存消化，价格有望反弹，主要受去库存、东芝停电等因素影响。
20181217,电子行业整体表现疲弱，受下游终端需求及中美贸易争端影响。
20181217,指纹识别模组产品销售数量环比下降7.3%，同比下降7.8%，主要受季节性因素影响。
20181217,上游NAND颗粒价格小幅回涨，但仍无力拉抬SSD终端价格，消费类市场需求疲弱，终端客户无意提高库存。
20181217,存储器价格下跌和服务器存储器需求减少预计将持续至2019年上半年，市场有望于2019年下半年复苏。
20190131,无线充电技术商业应用逐渐成熟，市场需求增长，推动公司新品类扩张，从而提高ASP（平均售价）。
20190131,新项目增加导致短期利润水平下降，原因包括良率爬坡、费用增加以及关税和增值税增加等。
20190131,原材料短缺影响三四季度新品放量，导致增收不增利现象。
20180809,模组成本下降的主要原因是需求增长与出货量增加，而运营商的巨额补贴将进一步加速这一过程。
20180809,清洗设备的性能直接影响晶圆的良率，进而影响晶圆厂的利润。
20180809,全球经济下行可能导致固定资产投资减少，从而影响安防领域的投资。
20180809,厂商过度扩产可能导致产品单价大幅下降。
