Date,Content
20190303,石油石化行业：研报主要分析了原油市场供需关系和油价波动原因，其中包括美国产量变化、OPEC减产策略、地缘政治风险和原油需求等因素。
20190303,供需关系：美国产量边际变化量减小，OPEC减产面临去库存压力，但执行力度尚佳，油价大概率维持反弹。
20190303,因果关系：美国加大原油产量导致市场供需失衡，OPEC采取减产策略以平衡市场，但受到地缘政治风险和经济衰退的影响，油价波动较大。
20190303,行业趋势：关注低估值、高股息率的一体化油气公司、价格传导弹性兼具成长的民营大炼化标的、油气上游业绩释放以及PDH类气头原料套利等四条主线。
20190303,风险提示：地缘政治风险导致供给形势失控，经济衰退导致原油需求下降。
20180121,研报主要分析了石油石化行业的供需关系和因果关系。欧佩克的超额减产和美国页岩油的资本开支风格切换，带动油价维持高位，对整个石油板块构成利好。
20180121,油价的大幅回升（50%），并未导致美国活跃钻机数的明显增加，这说明资本开支风格已经发生切换。预计2018年页岩油增产60-70万桶/天，全球需求同比增加150万桶/天，供求缺口将推动库存消化。
20180121,中东、南美等地缘风险溢价有望超预期，进一步支撑油价走高。
20180121,三烯一苯和涤纶价差维持高位，PTA价格大幅反弹，显示出化工市场景气的持续。
20200508,2020年一季度，石油化工行业受新冠疫情冲击和油价大幅下跌影响，出现全行业净亏损，两桶油公司大幅度亏损。
20200508,随着国内疫情控制，下游需求逐步恢复，国际油价在OPEC+减产及需求复苏推动下有望企稳回升，预计石化行业盈利最差时期已过，将进入需求改善和油价提升带来的盈利修复阶段。
20200508,2020年二季度，虽然油价仍处于低位，对上游油气资源业绩拖累较大，且四月行业库存损失影响，但预计业绩将实现较大环比改善。
20200508,油服工程龙头公司近期回调较多，但随着国内油气增储上产推动，有望迎来业绩兑现期。推荐关注中海油服（H）、海油工程等。
20210322,油价波动影响PX价格，原油价格上涨带动PX走高，随后原油价格回调，PX市场失去成本支撑，价格小幅回落。
20210322,聚酯产品价格大幅拉涨后，终端市场采购意愿降低，聚酯产销无明显利好信号，对PTA市场形成利空。
20210322,下游聚酯行业、终端织造业开工率上涨，需求端支撑持续，但成本端油价下行，原料PTA、MEG市场疲软，对涤纶长丝价格支撑不足。
20210322,国内部分订单因价格原因导致利润严重亏损，终端织造订单恢复需要时间，涤纶长丝产销低迷，厂商心态谨慎。
20210322,受国际油价下行影响，原料端PTA和MEG价格下调，短纤成本支撑有限，短纤现货价格持续下行。
20210322,瓶片市场支撑作用较弱，厂家商谈重心下滑，库存下降较快。
20210322,宏观经济增速严重下滑，导致聚酯需求不振；地缘政治及厄尔尼诺现象对油价产生大幅度干扰。
20170904,石油化工行业整体供需关系紧张，主要受环保政策、原料成本、下游需求等多重因素影响。
20170904,环保政策导致部分原材料供应受限，如丙烷、丁二烯等，从而使得相关产品价格上涨。
20170904,下游需求旺季来临，如建筑施工增加带动聚丙烯等产品需求上升。
