Date,Content
20171120,当前，我国旅游业发展逐渐转型升级，打造“一站式旅游综合目的地”成为主流合作形式，旨在满足国民日益增长的品质旅游需求。
20171120,“一站式旅游综合目的地”模式符合国民旅游消费趋势，不再局限于单纯景点观光，而是提供满足各种感官需求的深度度假体验。
20171120,这种模式是国民旅游消费日趋成熟的表现，预示着旅游业发展将朝着更高品质、更多元化的方向前进。
20171120,政府与企业共同开发旅游资源，有利于优化旅游产业结构，提升旅游产品和服务质量。
20170911,行业整体营业收入的快速增长主要是酒店板块所贡献，而利润端同比增速的加快主要由酒店板块和旅游综合板块所贡献。
20170911,旅游综合板块的业绩增长主要得益于凯撒旅游、腾邦国际和北部湾旅的大额非经常性收入和并表效应。
20170911,酒店板块利润端增速的加快主要是由于岭南控股、首旅酒店和锦江股份的并表效应，以及板块期间费用率的下降。
20170911,板块利润端增速的放缓主要是由于去年同期宋城演艺受并表效应驱动业绩高增形成高基数，以及黄山旅游今年上半年归母净利润同比增速明显下降。
20170911,自然类景区公司的期间费用率上升，以及今年自然类景区的业绩增速较去年同期明显放缓，导致利润端增速减慢。
20190407,自然景区板块表现优异，但面临降价政策风险，可能导致上市景区板块估值水平下降，建议关注人文景区。
20190407,3月澳门博彩收入超预期，反映出澳门博彩市场的回暖趋势。
20190407,旅游消费回暖，自然景区、酒店板块和免税行业受益。
20190407,酒店板块通过内部结构升级，实现RevPar高增长，关注中端酒店布局及经济型酒店的升级改造。
20190407,出境游市场受到外部和内部负面因素影响，关注19年权重目的地的月度表现。
20190407,旅行社业务向零售业务拓展，实现批零一体化是必然趋势。
20190407,高端中场以及VIP业务与内地经济关联性强，内地经济下行将影响澳门VIP业务增长。
20190407,景区接待能力瓶颈和淡旺季差异明显，关注从内部经营着手实现业绩增长的公司。
20190407,毛利率提升：规模扩大，获得多个机场免税店经营权。
20190407,极端天气和不安全因素影响旅游业，关注景区的交通利好及防范风险。
20190407,宏观经济增速放缓，旅游业受到一定程度的影响。
20190428,国内免税行业处于高速增长期，剔除新开免税店因素，同口径对比增长超过30%，显示出行业客单价仍有较大上升空间。
20190428,出境及海南旅游游客持续增加，将进一步推动免税行业高景气发展。
20190428,国旅作为行业龙头，有望进一步集中国内免税市场，巩固行业地位。
20190428,酒店行业有望在经济复苏后率先回暖，入住率提升和房价上涨将驱动业绩快速增长。
20190428,免税行业是最有可能穿越经济周期的子版块，人均实际消费与免税限额之间的差距为价格上涨提供空间。
20190428,国产化妆品在三线以下城市的消费升级带来增量市场。
20171204,快递行业需求低于预期，导致企业压力增大。
20171204,成本有明显上升，增加企业运营难度。
20171204,企业价格战，可能导致行业整体利润率下降。
20171204,快递行业竞争激烈，需求增长放缓，企业需要寻求新的增长点。
20171204,随着电商发展，快递行业仍具有长期增长潜力。
20191231,物业管理行业受益于城镇化率、总人口数、人均住宅面积和人均可支配收入等因素的增长，未来规模增长空间广阔。
20191231,受三线城市销售比例提高和房企融资困难拖延决算等影响，竣工面积同比增速持续下滑，开工面积与竣工面积之差同比增速于2016-2018年快速提升。
20191231,物业管理企业的管理面积近几年高速增长，保证了收入和现金流的稳定增长，同时在人力成本压力下，营业成本率仍保持下滑趋势。
20191231,物业管理存在一定程度的规模效应，规模扩大有望降低单位面积成本及成本率。
20191231,物业费提价困难，管理面积规模增长仍是基础物业服务增长的主要动力。
20191231,绿城服务在品质方面的领先优势为其带来了良好的口碑、较高的物业服务费及续约率，主要得益于资产管理服务中的置换业务和车位尾盘销售业务利润率的提高。
20200302,研报内容与社会服务行业相关。
20200302,疫情对邮轮行业造成重大冲击，导致市场预期今年年内市场将跌至谷底。
20200302,景区陆续恢复开放，表明旅游业逐渐恢复正常运营。
20200302,国际酒店减免管理费，以应对疫情带来的经营压力。
20181031,餐饮板块业绩调整，收入和利润均有下滑，原因是行业竞争加剧。
20181031,2018Q3餐饮行业收入端增速由正转负，利润端下滑增速扩大，反映出行业竞争激烈，规模化、面向大众化的餐企更易突围。
20181031,景区板块受门票降价影响，收入端增速放缓。
20181031,酒店板块近三个季度收入增速个位数，但利润端增速高达34%，主要得益于品牌酒店如锦江、首旅通过优化费用、提高加盟占比，使得利润端快速增长。
20181031,旅游行业受突发性事件影响。
20170611,暑期旺季到来，高考后毕业旅游成为热点，推动休闲服务行业需求增长。
20170611,酒店行业回暖，受旅游消费升级和“限三公”政策影响消退等因素影响，从去年四季度开始出现明显复苏趋势。
20170611,国内酒店业连锁巨头加大中端酒店建设力度，推动经济型酒店转型升级，同时提高新开店面加盟比例，普遍提升盈利能力。
20170611,一嗨租车第一季度净营收同比增长33.7%，主要得益于汽车租赁和汽车服务收入的推动，毛利润率为31.2%，主要原因是车辆折旧成本占比下降。
20171129,受季节性因素影响，第三季度华住旗下酒店的平均房价、平均入住率和RevPAR呈现持续性增长，反映出旅游旺季对酒店行业的积极推动作用。
20171129,60后、70后仍占春节出境游客群的绝大部分，但80后随着收入增加，出游比重逐年增长，使得游客年龄结构趋向年轻化，预示着旅游市场未来需求潜力巨大。
20171129,免税行业受益于旅游业的发展，长期逻辑稳固，值得投资者关注。
20170918,调味品行业：受成本上涨影响，海天、厨邦、千禾等品牌纷纷提价，引发行业提价潮。高端餐饮恢复性增长，调味品市场呈现向好趋势。
20170918,酱油品类：市场规模约400亿元，价格带收入规模呈金字塔型，低端酱油市场主要以三四线、村镇市场为主。
20170918,旅游行业：双节期间，旅游旺季到来，人们更注重住宿性价比，高端酒店面临压力。突发性事件及天气等因素可能影响旅游业业绩。
20190609,2019年教育培训行业回暖，投资并购事件增多，资本涌入市场。
20190609,政策整顿对行业扩张产生短期影响，培训市场出现调整态势。
20190609,龙头企业具备较强抗风险能力，有望在行业调整中率先突围。
20190609,投资者对教育行业的关注度提高，助力行业整体发展。
20190609,随着在线教育市场的不断扩大，行业竞争愈发激烈，各家企业在融资、上市等方面寻求突破。
20190609,作业盒子获得1.5亿美元融资，显示了市场对教育科技创新的认可。
20190609,跟谁学成功登陆美股，为教育培训行业树立了新的标杆。
20190830,我国餐饮行业市场规模庞大，且持续增长，但投资案例数在减少，资金正向优质的餐饮企业集中。
20190830,景区受到政策影响，门票下调压力较大，酒店行业经营数据持续下行，但估值已到达低位。
20190830,免税行业在政策支持下快速发展，预计销售额将持续增长，对消费回流有明显的拉动作用。
20190830,火锅行业市场规模扩大，且具有强烈的标准化程度和可复制性，火锅龙头企业市占率将进一步提升。
20190830,茶饮市场女性消费者占比较高，因此高颜值、香甜的产品将更受欢迎。
20190830,餐饮行业普遍面临管理体制不健全、管理不规范不透明等问题，导致资金来源受限，扩张速度受到一定制约。
20190830,餐饮企业扩大规模有助于其进军产业链上游和中游，为食材及调料供应链、仓储、运输等环节提供规模优势。
20190830,餐饮行业需求表现较弱，拖累同店经营数据回调，而经济型酒店的竞争力相对较强。
20200113,海底捞在一线城市的翻台率小幅下降，原因在于2019年上半年新开门店一半位于一线城市，导致核心区域门店饱和。
20200113,尽管如此，全国范围内新开门店的经营效率和投资回收期仍维持稳定，说明海底捞的扩张策略在其他城市具备较强的可行性。
20200113,未来二线城市以及三线及以下城市的门店加密空间较大，海底捞有望在这些地区进一步拓展市场份额。
20200524,研报内容与社会服务行业相关。
20200524,由于突发性事件和天气等因素，旅游行业的需求受到限制，导致旅游公司业绩不及预期。
20200524,在不确定性市场环境下，研报推荐关注具有确定性和性价比的旅游公司。
20200524,研报未提及具体的因果关系，但可以看出供需关系受到了外部因素的影响，进而影响了旅游公司的业绩表现。
20180107,A股教育板块估值持续走低，原因有三：金融去杠杆和流动性紧张背景下，市场关注稳定增长、估值较低的白马公司；部分上市公司并购后的业绩未达预期，并购新规限制了上市公司的跨界并购和借壳并购，导致中小上市公司增长动力缺失；IPO常态化，中小上市公司数量大幅增加。
20180107,行业整体供需关系受到一定程度的影响，尤其是中小教育机构面临较大的经营压力。
20180107,随着华立大学集团拟赴港上市，表明教育行业对资本市场的需求依然存在，市场对优质教育资产的配置需求较高。
20180107,未来教育行业的发展将更加注重内生增长和教学质量，而非单纯的外延式扩张。
20171211,10月份，澳门、台湾、日本和泰国的大陆游客明显增长加速，导致航空客运增速提升，反映出国人出行需求的增长。
20171211,利口福食品有限公司主营月饼、速冻食品、腊味、面包西点等160多个品种，其中月饼系列占比最大，且具有季节性消费特点，下半年营收占比较高。
20171211,公司的速冻食品主打广式点心，产品差异化有利于在未来市场扩张中取得先行优势。
20171211,2012年以来，受限购政策影响，餐饮行业整体下滑，但广州酒家餐饮人均消费50~160元，属于大众消费范畴，因此开始恢复增长。
20200915,疫情防控效果显著，推动旅游行业逐步复苏，带动部分公司二季度业绩环比明显改善。
20200915,随着疫情影响逐渐消散，市场对餐饮旅游行业的信心逐步恢复，行业整体呈现回暖态势。
20200915,优质赛道龙头个股值得关注，这些公司在疫情期间表现出较强的抗风险能力，有望在疫情恢复阶段实现更快的发展。
20200915,行业内部竞争依然激烈，企业需要不断创新和优化业务模式，以适应疫情后市场需求的变革。
20180402,研报内容与社会服务行业相关，主要涉及教育领域。
20180402,亚夏汽车拟并购中公教育，表明行业内的整合趋势正在发生，可能影响行业竞争格局。
20180402,亿童教育推出多种产品，满足园所开展丰富户外活动、环境创设等方面的需求，体现了教育服务提供商对多元化需求的满足。
20180402,光华教育通过各类销售渠道和直营服务等方式开拓业务，实现教育软件产品、教育内容产品销售、教育服务以及管理服务四个板块的业务收入。
20180402,报告期内，光华教育通过有效的营销策略，使市场规模进一步扩大，加盟服务数量和单笔加盟费提高，加盟客户后期采购产品和服务增长，教学合作项目增加，直营业务也实现快速增长。
20180402,老鹰教育成立于2011年，2015年转型为针对美术高考的绘画培训业务，显示出教育行业细分市场的潜力。
20200817,教育培训行业经历政策调整后，供给端快速出清，预计此轮培训机构出清数量将达到行业总量的15%-20%。
20200817,整治力度广泛，但仅针对超纲教学、竞赛培训及消防安全，未质疑校外培训机构的存在合理性，反而通过提高标准加强监管，推动行业健康发展。
20200817,龙头机构的优质教学水平及课堂体验将带动行业马太效应进一步加剧，K-12培训行业在规范中将迎来大发展。
20200817,线下学习中心的停课对小型教培公司现金流带来挤压，将加速行业整合，有利于大型龙头公司的扩张。
20181119,酒店行业处于上升期，酒店收入增速超过成本费用增速，使得成本费用率下降，进而带动利润大幅提升。
20181119,归母净利润的上升主要源于有限服务型酒店收入增长（特别是铂涛系酒店和维也纳系酒店），以及上海、杭州、苏州、无锡肯德基投资收益的同比增加。
20181119,酒店繁荣期中，酒店收入增速继续超过成本费用增速，成本费用率下降，进一步推动利润提升。
20181119,利润总额的上升主要得益于公司酒店业务利润的增长，以及出售燕京饭店等股权和非经营性因素带来的非经常损益增加。
20181119,公司通过良好的资金管理节约了财务费用，从而增加利润总额。
20190602,2019年高考人数破千万，考研人数创新高，反映出我国教育市场的庞大需求和竞争压力。
20190602,本科毕业人数逐年增加，导致就业压力增大，许多学生选择通过考研提高自身学历以增加竞争力。
20190602,非全日制研究生在2017年首次纳入统考范围，使得在职人员通过考研寻求升职加薪和更换工作的机会，往届生考生人数增长明显。
20190602,考研热潮背后，体现了我国就业市场对高学历人才的追求，以及个人追求更高学历以应对就业竞争的心态。
20200207,教育行业受到疫情影响，早教和职教培训公司的线下培训停课，对短期经营产生一定负面影响。
20200207,由于一季度属于相对淡季，且通过向线上课程转化能够熨平一定影响，预计整体业绩影响有限。
20200207,疫情催生教育行业线上化发展，未来线上教育市场或将进一步扩大。
20200207,早教和职教培训公司面临挑战，但同时也存在转型线上教育的机遇。
20180518,随着国内酒店管理技术成熟和消费者需求变化，中国酒店业出现“内资进、外资退”的趋势。
20180518,外资酒店在中国市场的地位逐渐减弱，原因在于经济型及中端酒店需求扩大，而外资酒店在高端市场增长不明显，且国内消费者成为客源主体，国际酒店集团的预订系统无法体现优势。
20180518,国内外酒店集团在中端市场展开合作，探索更成熟的经营模式。
20180518,“一带一路”倡议为我国酒店海外投资提供新方向，酒店集团应注重运营管理和资产管理，提升整体表现。
20180512,出生人口下降导致全国范围内撤校并校，使得人口回升后，学校总量出现供不应求的现象。
20180512,人口分布结构变化，一线城市吸收全国人口，二线城市吸收周围地区人口，三线城市吸收周围县市人口，导致一二三线城市教育资源紧张。
20180702,餐饮旅游行业受到自然和文化资源丰富的国家如缅甸的旅游业发展潜力影响，具有较大的市场机会。
20180702,韩国旅游市场在“萨德”事件和国际局势紧张的影响下，国内赴韩客流同比下降55%，但随着朝核问题缓和、中韩关系回暖等利好，市场有望迎来复苏。
20180702,费用上涨导致中国游客前往更远的目的地、延长出游时间，以及预订更高钻级产品，增加了酒店、旅游服务的支出。今年游客更加注重旅行体验及与家人的情感互动，而非单纯考虑价格。
20180702,餐饮旅游行业受益于消费升级和旅游需求多样化，高品质旅游产品和服务受到市场欢迎。
20190217,早教行业参培率较低，相较于其他教育子行业有更大的提升空间。
20190217,渗透率提升有望带动早教行业的发展，使得市场规模不断扩大。
20190217,作为行业龙头，企业有望在市场扩张中优先获得收益，进一步提升市场地位。
20190217,随着社会对早教需求的增加，行业整体发展前景较好。
20201019,研报关注后疫情时代的教育行业，认为就业难背景下，人才招录、考研等市场将持续火爆。
20201019,扩招政策利好职业培训头部企业，这些企业将大幅受益于需求增长，业绩有望维持高增速。
20181015,研报内容与社会服务行业相关。
20181015,未来赴美留学政策收紧可能导致中国留学生选择其他国家留学比例提升，如英国、加拿大、澳大利亚等。
20181015,专注于赴美留学服务的中介、考试培训机构和留美的国际学校可能受到较大影响。
20181015,专注非美留学地区的留学中介、培训机构和国际学校可能受益。
20190708,旅游行业：研报分析了2019年下半年旅游行业的投资策略，指出旅游休闲方式多元化，需求碎片化发展，对单一目的地经营持续性提出更高要求。同时，海南等地接待人次下降，高端消费疲软，三四线城市居民消费力受地产去库存影响。
20190708,咖啡行业：研报提到咖啡价格与收入水平呈弱相关性，高返点政策催生代购规模膨胀，韩国免税店的高返点政策使其在国内市场具有竞争力。
20190708,化妆品行业：研报指出，香化产品增值税和消费税为主要税种，免税销售国产化妆品免除消费税和增值税后，与有税专柜价差不少于20%，且还可免除一部分渠道端费用，具有价格优势。
20190708,供需关系：研报提到，韩国市内免税店主要针对外国游客，高返点政策吸引了中国出境游客，为上下游产业链输送收益，实现整体产业链的价值提升。
