Date,Content
20210221,2021年春节黄金周期间，由于“就地过年”现象推动的居家类消费大幅增长，加上西方情人节的影响，服装类消费同比增长107.1%。
20210221,根据KPMG估计，2020年春节整体社会消费品零售总额同比下跌约50%，2020年1-2月服装零售同比下跌30.9%。
20210221,假设2020年春节服装零售降幅范围在30%~60%之间，则2021年相对于2019年春节的增速为+45%~-17%，此为行业水平的参考值。
20210221,投资建议方面，认为部分海外订单转移至中国，制造企业有望提升产能利用率并加强订单议价权，建议关注成衣企业如开润股份、健盛集团、申洲国际，以及上游面料纱线类企业如百隆东方、新野纺织、华孚时尚。
20200204,由于新冠病毒疫情影响，口罩/防护服市场需求大增，但受到员工放假、企业停工等因素影响，国内产能无法满足实际需求，存在供需缺口。
20190529,消费升级和消费者需求多样化带来市场空间。消费者对纺织品和服装的品质、设计和功能性要求越来越高，这为行业提供了新的增长点。
20190529,政策支持。政府出台了一系列政策措施，如减税降费、产业升级、环保政策等，有利于行业健康发展。
20190529,技术创新和数字化转型。新技术和新业态的出现，如智能制造、电子商务、大数据等，为行业发展提供了新的动力。
20190529,市场竞争激烈。行业内部竞争激烈，尤其是低端市场的竞争更为激烈。同时，国际品牌进入中国市场，也给国内企业带来了压力。
20190529,原材料价格波动。棉花、涤纶等原材料价格波动较大，给企业经营带来不确定性。
20190529,环保压力。环保政策趋严，对企业的生产成本和经营模式提出了新的要求。
20190529,加强产品研发和创新。提高产品的科技含量和附加值，满足消费者多样化的需求。
20190529,提升品牌形象和知名度。通过品牌建设和营销策略，提升品牌形象，扩大市场份额。
20190529,加强供应链管理和资源整合。优化供应链流程，降低成本，提高运营效率。
20180826,纺织服装行业近期受消费悲观情绪影响，股价下跌明显。
20180826,然而，7月以来，主要上市公司的零售端表现稳定，订货情况符合预期。
20180826,行业龙头公司为秋冬季高峰期做好了充足的备货，有望在三四季度逐步释放业绩。
20180826,随着业绩的提升，行业板块的估值有望得到修复。
20180826,建议关注上游纺织细分领域的龙头企业，如华孚时尚、百隆东方、鲁泰A等。
20180826,此外，还建议关注童装业务发力、公司经营持续改善的森马服饰。
20201102,纺织服装市场需求持续复苏，其中辅料和家纺板块表现尤为突出，受益于国内外订单转移和销售旺季等因素。
