Date,Content
20190328,医疗器械行业中的医学影像领域处于快速发展阶段，市场需求广泛，主要增长动力来自基层医疗市场需求放量、民营医疗机构的快速发展和高端医学影像设备市场的进口替代。
20190328,医学影像设备和服务提供商的产品线丰富，下游客户主要为民营医疗机构和经销商，多采用分期付款形式购买大型医疗设备。
20190328,医学影像设备和服务提供商面临多种风险，包括药品未能中标及中标价格大幅下降风险、原材料供应风险、主要经销商变化的风险、药品质量控制的风险、经营资质许可续期的风险、安全生产的风险和环境保护的风险。
20181218,近期全国建筑钢材贸易商成交量回暖，钢材现货、期货价格小幅上涨，主要受到政策面刺激以及大型房地产企业债融渠道打通的影响。
20181218,在钢铁需求季节性回落的大背景下，钢厂环保限产成为影响后续钢价走势的核心变量。
20181218,12月国内开工率略有下滑，其中华东区域开工率下滑主要是受新安化工检修的影响。
20181218,冬季市场低迷，室温胶需求下降，供需缺口难以出现。
20181212,钢铁行业供给减少：螺纹、线材、热卷周产量均下降，可能与部分钢厂进行设备检修有关。
20181212,高炉开工率和产能利用率小幅回落，反映钢铁生产活动放缓。
20190326,建筑钢材现货价格在需求释放的影响下震荡上行，五大钢材需求季节性增长，叠加增值税下调，终端实际需求或有更好表现。
20190326,近期多方消息面扰动铁矿石市场，钢厂补库或将带动铁矿石价格上行。短期内铁矿石供给将走弱，需求端则走强。
20190326,天嘉宜系染料重要中间体间苯二胺的三大核心生产工厂之一，事故发生后，国内仅只有龙盛一家企业正产生产，事故将直接导致间苯二胺供应短缺、价格上涨，也将推动分散染料、活性染料价格上涨。
20190326,当前旺季，染料生产企业提价诉求强烈，叠加成本端的大幅上行驱动，染料价格大概率同步走高。
20181117,腾讯针对未成年游戏行为的监管趋严，预计PC端游戏收入将持续下降，移动端游戏收入也将承压。
20181117,比特币挖矿难度与投入算力成正比，挖矿难度下降可能导致挖矿者投入减少。
20181117,比特币价格下跌可能影响矿机需求，对公司未来业绩产生影响。
20181117,玩客币价值受迅雷CDN业务发展影响，比特币价格波动对其影响有限。
20181117,手机机壳行业具有周期波动特性，技术创新推动利润率变化，新产品迭代带来新一轮周期。
20181025,煤炭行业：焦炭价格在下游需求较好的背景下上涨，主要原因是钢企在高利润下保持高开工，焦炭需求旺盛。采暖季的到来可能对焦炭供需产生影响，需关注焦化厂和钢厂限产执行力度。
20181025,建材行业：地产对水泥、钢材等建材的消费主要集中在开工后3-6个月。供应端继续收缩，短期需求韧性仍存，四季度水泥等建材价格有望维持高位。
