Date,Content
20191016,化妆品行业整体景气度下滑，品牌竞争激烈，部分品牌如御泥坊通过打造爆款产品和有效的社交媒体策略实现了销售额的反弹。
20191016,佰草集、高夫和美加净等品牌因调整营销策略、实施主动控价等原因，销售额同比出现下滑。
20191016,玉泽品牌受益于良好口碑和药妆高景气度，销售额维持增长。
20181022,海外尤其是欧美化妆品品牌在中国市场表现强劲，通过进驻主流电商平台（如天猫、京东、唯品会等）和利用明星代言与粉丝文化，成功吸引了大量年轻消费者。
20181022,欧美高端品牌也推动了化妆品线下百货渠道的复苏增长。
20181022,过去几年中，占据渠道优势的知名民族品牌虽然拥有较大的销量基数，但面临着品牌老化和形象升级的难题。部分民族化妆品品牌已经开始尝试年轻化营销，并取得初步成效。
20181022,中低端韩妆品牌在中国市场的基本度过了“蜜月期”，线上和线下的销售均出现下滑，部分品牌甚至出现了关店潮。这可能是因为中低端海外品牌不具备毛利优势，同时互联网时代的消费者已经摆脱了信息不对称和购买渠道单调的消费环境。
20181022,2017年中至2018年中，化妆品行业的快速增长得益于海外知名化妆品品牌，特别是欧美化妆品品牌在中国的市场拓展和营销策略。
20181022,欧美高端品牌也推动了化妆品线下百货渠道的复苏增长。
20181022,2018年Q3，受宏观经济形势和居民消费意愿降低的影响，化妆品行业整体增速有所回落，但仍高于消费品整体增速。
20180817,精准定位：根据目标消费群体的年龄、地域、消费能力等特点进行精准定位，以满足不同消费者的需求。
20180817,品质保障：确保产品的质量和安全，这是赢得消费者信任的基础。
20180817,营销创新：利用社交媒体、网红直播、短视频等多种方式进行营销推广，提高品牌知名度和影响力。
20180817,渠道拓展：通过线上电商平台、线下实体店、微商等多种渠道进行产品销售，拓宽市场份额。
20180817,研发投入：加大产品研发投入，不断推出新品，以满足消费者日益多样化的需求。
20180817,品牌建设：通过打造品牌形象、传播品牌故事等方式，提升品牌价值和竞争力。
20180817,社会责任：关注环保、公益等问题，履行企业社会责任，提升品牌形象。
20190522,化妆品行业持续增长，受益于消费者对美的追求以及消费升级。
20190522,化妆品产业链分为原料设备供应与生产端、品牌端、代理端及渠道端四个环节，各环节之间存在利益分配格局。
20190522,国内化妆品原料商整体实力较弱，影响品牌商的研发能力。
20190522,代工环节提供产能和技术支持，适合分享化妆品市场增长。
20190522,传统渠道运营费用高企，新兴渠道如线上团购拼团、社交电商平台和线下单品牌店逐渐成为主流。
20190522,中国化妆品行业发展历程可分为本土工厂成立阶段、国产品牌发展阶段和本土品牌复苏阶段。
20190522,化妆品市场需求爆发，消费群体扩容和高端化成为化妆品需求的两大助推器。
20190522,国内化妆品企业在研发费用投入方面与国际水平仍有差距。
20190522,消费者购买彩妆更看重颜值和使用感，对新品牌的接受度较高。
20190522,团购电商平台如拼多多、云集以低价策略吸引消费者，销售额快速增长。
20190522,单品牌店成为渠道下沉的最佳门店形式，有效增强客户粘性，提高渠道效率。
20200714,功能性护肤品市场快速发展，主要受益于年轻消费群体的增加和他们对美妆消费的细分需求。功能性护肤品具有强大的信任背书和自然流量，因此具有较高的盈利潜力。
20200714,功能性护肤品的需求释放得益于年轻消费者对自身肌肤状态的深入了解，以及社交媒体和教育活动的普及。此外，内容营销和直播电商的兴起也为功能性护肤品提供了快速发展的机会。
20200714,以薇诺娜、玉泽和润百颜为代表的国内功能性护肤品牌，凭借其独特的品牌故事和专业背景，已经在市场上取得了一定的成功。这些品牌在产品品质、品牌影响力和盈利能力方面具有较强的竞争力。
20191111,电商直播的集中化趋势有利于知名美妆集团和口碑品牌的发展，因为这些品牌通常具备充足的优质产品和严格的品控标准，能够满足头部和部分腰部主播的要求。
20191111,电商直播的爆发主要是由消费习惯、内容升级和技术迭代等因素驱动，其中直播形式和内容组织的创新为消费者带来了更直观的商品展示和更好的购物体验。
20191111,电商直播改变了传统的“人找货”和“货找人”模式，使消费者能够更容易地找到适合自己的商品，同时也提高了销售转化率和商品生产效率。
20191111,主播和MCN公司在电商直播中的角色越来越重要，他们通过与电商平台和品牌方的合作，获得了更强的议价能力和供应链资源。
20191111,电商直播平台在“人、货、场”三因素上各有优势，未来的竞争将取决于各平台对这三个因素的综合掌控能力。
20191111,化妆品品牌商通过电商直播可以巩固其在关联电商平台上的流量优势，提高私域流量和公域流量的获取能力。
20191111,头部和腰部主播在选择合作品牌时，通常会优先考虑知名美妆集团和口碑较好的品牌，因为这些品牌能提供高质量的商品和服务，有助于提高直播间的转化率和销售GMV。
20200411,丸美推出了一款名为“小红笔眼霜”的新品，该产品创新性地将“美容仪+护肤品”的概念结合，定位为高效抗老眼部护肤，主要针对有眼部抗初老需求的年轻群体。
20200411,化妆品行业在2020年3月面临一些挑战，包括行业景气度下滑、品牌竞争加剧、渠道拓展不及预期以及疫情影响加剧。
20200411,由于2019年8月起彩妆细分品类统计口径大幅调整，暂无同比增速数据。但从环比情况来看，3月彩妆销售显著好于2月，其中身体彩妆（环比+160%）、美甲彩妆（+87%）、眼部彩妆（+81%）增幅较快，唇部彩妆（+33%）增幅相对较弱。
20200411,在疫情的影响下，彩妆消费持续受到影响，品牌方营销节奏的调整导致不同品牌销售情况出现严重分化。
20210110,美妆全网GMV增速：20年12月美妆全网GMV同增9.8%，其中护肤品类目与彩妆类目GMV分别同增8.9%与11.7%，较上月景气度均有所下行。
20210110,护肤品类目：20年8-12月淘系全网GMV增速为26%，其中面部精华、眼部护理、化妆爽肤水、乳液面霜四大类目单价增速超过GMV增速，产品升级及中高端品牌拉动效应显著。
20210110,彩妆类目：20年8-12月淘系全网GMV增速为32%，其中美妆工具价格贡献超过销量贡献，其他类目销量与价格拉动共振。
20210110,价格提升贡献：根据20年8-12月淘系全网情况，护肤品结构升级驱动有限，彩妆结构升级贡献为大个位数，整体幅度低于单价提升效应。
20190812,行业景气度下滑，品牌竞争加剧，尤其是新锐国产彩妆品牌与国际大牌之间存在竞争劣势。
20190812,珀莱雅在抖音平台推出爆款策略，主打“可视化”泡泡面膜，效果显著，月销量突破100万。
20190812,御家汇旗下主品牌御泥坊在淘系平台销售额下滑，面临品牌销售压力。
20190812,“泡泡面膜”销售额占品牌当月总销售额的62.02%，对其他产品的销售拉动效果尚未显现，长期导流效果有待观察。
20190812,泡泡面膜通过直观的产品效果展示，吸引消费者关注，定价位于线上护肤品消费“舒适区”，易于产生冲动消费。
20200413,化妆品线上销售增速回暖，其中眼影和唇膏口红价格增长较快，主要受中高价位产品和国外高端产品销售量增长的影响。
20200413,2020年第一季度，彩妆类GMV同比增长12.10%，主要由于均价的提升，疫情导致的外出及聚会场合减少使得彩妆销量下降。
20200413,室内除臭/芳香用品以及驱虫用品的销售情况较好。
20200413,若宏观经济持续下行，可能导致社会零售增速放缓，进而影响消费者化妆品消费意愿，影响行业景气度。
20180523,中国化妆品市场的规模和增长情况：预计到2020年，中国化妆品行业市场规模将达到3500亿元，2017-2020年的复合年增长率约为3%。
20180523,化妆品市场的消费特征：消费人群代际切换和消费升级是推动行业发展的主要因素。80后和90后已经成为化妆品市场的主力军，他们的消费观念和需求正在推动化妆品市场的变革。
20180523,化妆品市场的销售渠道：线上销售逐渐成为化妆品市场的主要销售渠道，尤其是随着社交媒体的普及，化妆品品牌可以通过线上渠道更直接地与消费者互动，提高品牌知名度和产品销售。
20180523,化妆品市场竞争格局：随着国内化妆品品牌的崛起，中国化妆品市场的竞争格局正在发生变化。外资品牌虽然仍然占据主导地位，但本土品牌的市场份额正在快速提升。
20180523,化妆品市场的发展趋势：随着消费者需求的多样化和个性化，化妆品市场的发展趋势将更加多元化和专业化。此外，随着消费者对化妆品安全性和功效性的重视程度不断提高，药妆市场也将得到快速发展。
20200202,化妆品行业在2019年12月份的电商数据跟踪报告中表现出较好的增长态势，其中珀莱雅、家化等品牌的增速较快，国货彩妆表现优异。
20200202,面部护理套装、身体护理产品、面部彩妆、香水以及彩妆套装等产品类别在报告期内均实现了量价提升，其中部分品牌如植贝、辛有志、凡士林、自然旋律、半亩花田、纽西之谜、花西子、红地球、法颂、名蓝、纪梵希、梦妆、兰蔻等在各自领域表现出色。
20200202,宏观经济持续下行可能对化妆品行业的消费意愿产生影响，进而影响到行业景气度。
20200219,“成分党”的兴起表明中国化妆品消费者正在关注产品本质，对护肤品的需求从基础向专业升级。功效护肤品在中国市场的增长潜力巨大，有望带动人均护肤消费的提升。
20200219,功效护肤品的增长动力主要有以下三个方面：一是对大量基础护肤用户的深入挖掘；二是居民消费力的提升为功效类产品的兴起提供了必要条件；三是互联网的发展提高了化妆品行业的科技透明度。
20200219,功能性护肤品在中国市场的接受度和市占率预计将在未来十年内大幅提升，这主要得益于消费者对护肤品需求的专业化升级。
20200219,功能性护肤品相较于普通护肤品，具有“卖点鲜明、配方精简、单效突出见效快”的优势，这使得其在消费者中的感知度更高，从而提高整体的市场份额。
20200219,华熙生物作为全球玻尿酸龙头供应商，其旗下的功能性护肤品牌如润百颜、夸迪等，凭借其明星成分和实验室风格，已成功抓住市场机遇，实现了快速增长。
20200219,圣瑰兰作为西班牙小众抗衰护肤品牌，其核心成分“肽”被誉为“可涂抹的肉毒素”，在中国市场积累了一定的粉丝基础。此次与珀莱雅的合作，将进一步丰富珀莱雅的品牌矩阵，并为旗下品牌提供更多的抗衰功效产品选择。
20180911,化妆品行业在中国市场持续增长，其中彩妆品类具有巨大的增长潜力。这得益于消费者代际切换，年轻一代消费者更习惯电商消费，以及城镇化率提高带来的三四线城市及农村化妆品消费需求增长。
20180911,化妆品行业竞争激烈，但国货品牌仍有很大发展空间。本土品牌可以通过精准定位、差异化竞争和抓住新兴渠道机会，实现市场份额的提升。
20180911,化妆品行业的产业链定价权主要集中在品牌商和渠道商，他们通过广告营销、人工、租金和扣点等方式获取高额利润。
20190915,7月份化妆品零售额同比增长9.40%，虽然增速环比放缓13.10PCT，但仍保持较高的景气度。
20190915,珀莱雅主品牌8月份天猫旗舰店销售额在高基数背景下同比继续高速增长197.72%，主要得益于爆款泡泡SPA面膜的持续热销。
20190915,佰草集5月至7月的销售表现靓丽，但进入8月受去年高基数影响，销售增速放缓，同比降30.18%。
20190915,化妆品行业受益于行业成长属性，总体景气度较高，本土品牌商及生产商有望从中获益。
20201119,美妆企业多由创始人实际控制和经营，有利于实现利益一致，降低委托代理问题。
20201119,流量红利的加速以及数字化转型的推进，对美妆企业的战略思路、执行力和组织形态演进能力提出了更高要求。
20201119,关键岗位人员（如产品策划、电商运营、图文视频内容制作、大数据分析等）的流失可能对美妆企业的电商渠道销售产生不利影响。
20190808,化妆品行业受益于行业成长属性，整体景气度较高，本土品牌及上游生产商迎来发展机遇。
20190808,自18年底新电商法实施以来，我国化妆品进口增速持续同比放缓，6月叠加对美化妆品加征关税影响，进口增长承压。
20190808,美妆、个护公司及渠道商平均估值水平分别为37倍、43倍、12倍，其中美妆及渠道公司估值低于历史平均水平，而个护估值高于历史平均。
20190808,终端零售环境环比连续改善，化妆品零售也受益于行业成长属性，环比改善。未来终端零售好转趋势是否延续需持续关注。
20190808,6月美妆进口额增速同比放缓主要为进口量增速放缓所致。
20190808,消费者对面膜行业的需求增长，但对部分品牌如御家汇旗下的品牌销售额增速仍承压。
20190808,宝洁的内生性销售额同比增长7%，受益于价格上调和部分品牌销量大增。
20190808,美即在2017年后推出多款创新产品，试图重振品牌。
20190808,Coty的消费化妆品业务销量过去四个月不断下滑，受欧美地区市场竞争加剧和供应链问题影响。
20190808,6月终端零售环比继续改善，化妆品行业景气度较高。
20190808,7月阿里全网美妆销售额增速环比放缓，主要为6月618电商大促导致的月份波动。
20190808,新电商法影响持续存在，叠加6月起对美化妆品进口加征关税，我国6月美妆进口增速同比继续放缓。
20190808,推荐关注行业趋势力强、布局多品牌的优质品牌商珀莱雅，以及研发实力强、积极布局内容营销的上海家化和丸美股份。
20191115,行业数据：御泥坊新开男士旗舰店，销售额同比减少54.96%，但新品表现良好，月销达到1601万元。珀莱雅的insbaha粉底液月销达到35万+。
20191115,珀莱雅的泡泡面膜作为爆款产品，为公司带来积极效果：拉新年轻消费者，线上热度反哺线下，总结出社交新媒体爆品方法论并应用于其他产品。
20191115,行业景气度下滑，品牌竞争加剧，渠道拓展不及预期。部分品牌采取低价策略吸引消费者，短期内可冲击较高销量。
20201101,化妆品行业需求强劲，2020年第三季度呈现加速复苏趋势。
20201101,随着双十一电商旺季来临，预计化妆品行业整体将维持快速增长。
20201101,天猫美容护肤品类GMV自2020年2月起实现正增长，2020年第三季度同比增长23%。
20201101,考虑2020年天猫双十一大促规则变化（尾款支付时间延长且大促由一波增加为两波），预计第四季度天猫美容护肤品类GMV有望加速增长。
20201101,化妆品品牌增长呈现分化，部分企业如御家汇、珀莱雅、拉芳家化业绩实现较快增长，而上海家化因主动调整电商策略导致短期增长放缓，丸美股份则因双十一及线下去库存导致短期业绩增速略有放缓。
20201101,化妆品板块估值分化加强，龙头企业估值溢价明显。
20200113,化妆品行业在2019年12月整体增速有所回落，主要原因是高档品牌在双十一期间进行了大幅度的促销活动，提前完成了全年的销售目标，因此在12月的促销力度减弱。
20200113,彩妆品类相较于护肤品类具有更高的消费频率和冲动消费属性，新品牌更容易通过高颜值的产品和创意性的营销脱颖而出。然而，近年来彩妆品类的头部玩家更迭较快，部分去年热销的品牌今年销售额出现下滑。
20200113,报告中的公司在本月未对前期爆品“泡泡面膜”进行大力促销，而是转向传统面部护肤产品的销售，并通过社媒营销方法打造新的爆款单品。
20200113,2019年12月，佰草集天猫旗舰店销售额同比增长71.33%，主要原因是品牌加大了电商营销的投放力度。
