Date,Content
20190912,社交广告在中国互联网广告市场中占据重要地位，具有较高的商业价值。社交平台的流量壁垒高、用户规模大、粘性强，社交生态体系下多维数据对用户的画像刻画也更为精确，因此社交广告在未来仍有望取得超额增长。
20190912,搜索引擎市场的增速受到政策监管和竞争环境的影响，预计未来几年搜索广告市场增速仍将保持低位。
20190912,视频广告增长受到宏观经济不景气、政策监管等多重因素影响，表现疲软。但随着用户粘性的增长和广告主预算的倾斜，短视频广告营销仍有增长潜力。
20190912,阿里巴巴的P4P广告收入增长主要来源于用户总使用时长的增加，而在用户总打开次数上升空间较小的情况下，随着大数据营销投放的准确度上升，CPM价格预测会逐渐增长，驱动展示广告收入的提高。
20190912,百度的搜索广告业务受到多种因素的冲击，包括竞价排名机制造成的口碑损失、搜索广告位开发过饱和，以及宏观增长承压下广告主预算削减等。但随着广告主数量的下降出现拐点，未来竞价排名的激烈程度提升有望进一步带动单次点击价格的提升。
20190912,腾讯的广告业务增长主要依赖用户总时长的增长和广告浓度的提高。考虑到腾讯系产品用户总时长增速趋于放缓，腾讯未来广告核心驱动因素将逐渐由用户总时长驱动过渡到广告浓度驱动和CPM价格驱动为主。
20170716,移动端资讯业务顺应大宗商品火爆行情，发展迅速，市场空间巨大，潜在客户数量达到千万级。
20170716,PC端资讯业务则主要覆盖机构客户，对标万得资讯，收入有望快速提升。
20190522,国内劳动力成本上升和企业精细化管理需求推动企业管理软件市场增长。
20190522,2012-2015年间，受宏观经济不景气和企业IT投资意愿影响，国内ERP管理软件进入低谷期。
20190505,宏观经济回暖和相对宽松的监管环境可能导致广告主需求上升，进而推动互联网流量价格回升。
20190505,效果广告（CPC）的复苏幅度弱于品牌广告（CPM），主要原因是中小企业需求占比高。
20190505,泛娱乐内容平台受益最大，各类移动应用的流量价格均出现反弹，其中泛娱乐内容平台的反弹幅度最大。
20190505,互联网巨头如腾讯控股、微博等将受益于流量价格复苏，对广告收入依赖程度越高的公司，受益越明显。
20190505,以爱奇艺、芒果TV、B站为代表的视频娱乐平台，将受益于流量价格的强劲反弹。
20190505,对外部流量依赖程度高的互联网公司，如部分游戏公司、互联网金融公司、垂直电商平台、垂直资讯平台等，可能面临较大的挑战，即流量价格攀升导致的获客成本提升。
20190505,2018年移动互联网流量价格持续下降，但在2019年1-4月出现强势反弹。
20190505,影响流量价格的主要因素是需求面，而非供给面。2018年宏观经济减速和监管政策收紧可能是导致广告主需求不足的主要原因。
20190505,2019年宏观经济和监管政策回暖，导致广告主预算恢复性增长。
20190505,2019年1-4月流量价格复苏过程中，CPC回升速度慢于CPM，表现出较高的波动性。
20190527,利率市场化背景下，金融产品市场化趋势明显，银行间竞争加剧，存贷差利润空间受压，银行需寻找多元化盈利模式。
20190527,我国资本市场发展相对较晚，但证券公司和基金公司持续增长，推动证券IT企业受益于证券基金公司数量的增加。
20200426,企业上云需求持续增长，推动云计算行业发展；
20200426,政务上云市场空间广阔，有望成为新的增长点；
20200426,宏观经济波动可能影响下游客户需求和企业资本开支，从而影响云计算行业的发展。
20200426,企业上云需求增长→推动云计算行业发展；
20200426,政务上云需求增长→拓展云计算市场空间；
20210110,金山办公2019年营收同比下滑27.98%，主要原因是公共事业产品及相关服务业务收入下滑，以及Facebook广告合作暂停和国内互联网广告市场低迷。这导致了公司在2019年的亏损达到3.14亿元。
20171129,计算机行业增速放缓，表明行业成长性减弱。
20181209,计算机行业具有较强的后周期属性，受经济增长压力影响，市场需求侧承压严重。
20181209,计算机行业净利润增速两级分化明显，部分企业如同花顺、新大陆、同为股份等因市场环境变化导致利润下滑。
20210107,2020年医疗信息化订单整体呈现小幅增长，尤其在9月份之后，订单呈现出较为确定的复苏趋势。
20180724,端游收入受暑期和春节影响呈现出明显的季节性淡旺季特征。
20200518,特殊时期消费者更趋审慎，导致直播付费意愿降低，影响互联网行业收入。
20180418,电子数据取证行业起源于网域犯罪的威胁，随着互联网的快速发展，网域犯罪案件日益增多。
20180418,在英美等国，网域犯罪已经成为第一大犯罪类型，亚太等新兴国家也面临着严重的网域犯罪威胁。
20180418,电子取证是解决网域犯罪案件的关键，因此下游需求旺盛。
20171029,随着产品结构的改变，尤其是电子取证产品中的硬件产品比例上升，以及大数据领域从软件向整体解决方案的转变，公司的毛利率可能出现波动。
20201122,钢铁行业产能复苏，大型钢铁企业为主要受益者，这些企业也是软件产品的核心消费者。
20201122,去产能和环保政策对钢铁行业产生影响，推动行业向更绿色、更高效的方向发展。
20181206,找钢网和钢银电商作为第一梯队钢铁电商，已探索出相对成熟的商业模式，并在2016年实现盈利，新进入者生存和创新空间有限。
20181206,找钢网采用“撮合+自营”模式，参与实际钢铁贸易交易环节，抢占市场份额，目标是成为最大的互联网化钢贸商，取代传统钢铁贸易流通环节。钢银电商则采用“撮合+寄售”模式，通过技术、产品、服务聚合钢铁全产业链用户，形成一个用户黏性强、客户认可度高的独立第三方网上钢铁交易平台。
20181206,利润方面，找钢网实际利润仍在亏损，钢银电商已进入盈利快速增长期。
20191223,去产能和环保政策影响下，钢铁行业产能复苏，大型钢铁企业成为主要受益者。
20180726,中国企业在软件付费方面意识较差，许多企业更倾向于使用免费软件或盗版软件，这导致 360 杀毒软件相较于付费杀毒软件更受欢迎。
20180624,中美贸易战升级成为市场下跌的直接原因，导致A股市场持续走低。
20180624,上市公司股东普遍进行股权质押，但在市场低迷时暴露出质押风险。
20180624,金融行业去杠杆化加剧了市场资金紧张状况，使得银行在临近中报季时放贷更为谨慎。
20201228,大数据市场发展迅速，推动大数据安全市场规模持续增长。
20190421,信息新基建投资元年，重点关注相关领域如云计算、大数据、人工智能等。
20180704,存储市场销售额激增，主要原因是产品更新周期到来和超大型数据中心建设推动。
20201227,互联网平台利用流量优势，代销银行存款、大额存单等产品，主要来自城商行和民营银行等中小银行，具有存款利率高、存取操作方便、突破地域限制等特点。
20201227,中小银行为吸引更多存款，通过分段付息等方式提高存款利率，但可能导致客户利率敏感性高、黏性低，从而引发流动性风险。
20180524,2017年业绩高增主要受三方面因素影响：一是外延并购新华三带来并表期间的增加；二是产品结构和内部系统效应带来的营收增长和毛利率提升；三是政府补助等非经常损益影响归母净利金额。
20180524,外延并购新华三有助于公司扩大业务范围和提高市场份额。
20180524,产品结构和内部系统效应改善，表明公司在优化产品组合和提高运营效率方面取得了积极成果。
20180607,数字营销领域存在长链条、多中介、不透明的业务模式，导致广告主成本增加，媒体收益被压缩，以及整个流程的不透明问题。
20180607,这种业务模式使得每次营销活动都独立进行，仅追求覆盖面的广度，而无法追踪覆盖深度，难以获得累积效果，无法有效培养用户粘性，从而限制了价值的挖掘。
20180607,此外，诱导性、欺骗性营销行为的广泛存在，导致用户参与后未能获得应有回报，进一步加剧了用户对营销信息的抗拒情绪。
20191201,中间件行业为性能导向，强调产品质量和稳定性，以及售后服务支持，客户IT系统规模大且重要，对价格敏感度较低。
20190602,我国软件行业存在较高的盗版率，尤其是办公软件，这给正版软件公司带来较大的竞争压力。
20190602,微软在操作系统端占有较高市场份额，其办公套件Microsoft Office通过预装优势占据竞争优势，给WPS Office带来挑战。
20200618,IDC行业在一线城市指标放松的情况下，机柜价格有望保持平稳或略有下降。
20200618,汽车行业规模持续增长，智能化推动维修需求增加，新店开设和非原厂化设备普及趋势下，行业保持稳定增长。
20200618,环保要求导致2018-2019年关闭较多不满足环保标准的维修店，目前维修行业逐步走向正轨。
20200618,4S店经营成本高，许多车主选择第三方店进行维修，第三方价格相对较低且通用性高，业务量也高，对消费者更具价格优势。
