Date,Content
20180109,家具公司客流量受新房销售量和存量房翻新量影响，若二线城市地产景气度上升，家具消费需求将改善。
20180109,商品房交易产生家具消费需求，成品家具购置需求刚性，消费升级使大品牌企业市占率不断提升。
20180109,建议关注低估值成品家具领军企业曲美家居、大亚圣象、顾家家居；定制家具领军企业欧派家居、索菲亚，以把握定制渗透率提升带来的市场机遇。
20180109,全屋定制其他柜体拓展将提升客单价，为家具企业带来增长空间。
20190314,轻工制造行业1-2月社零增速环比持平，日用品类表现强势，家具类增速低于预期，受到去年末消费提前预支和去年同期高基数的影响。
20190314,投资建议关注日用品板块的生活用纸龙头【中顺洁柔】，金银珠宝板块的【周大生】和【老凤祥】，文化办公板块的【晨光文具】，以及造纸和包装板块的【劲嘉股份】、【裕同科技】和【太阳纸业】。
20190314,家具板块受地产周期影响，推荐关注软体品类和定制品类，如【梦百合】，【敏华控股】和【顾家家居】等。
20190314,文化办公用品1-2月社零同比+8.8%，增长较快，主要是去年2月文化办公用品消费负增长带来的基数效应。
20190314,家具类消费压力依然存在，受到商品房销售面积下滑的影响。
20201113,轻工制造行业在2021年有望持续修复，主要得益于全球经济复苏、消费升级以及电商行业发展等因素。
20201113,纸浆产业链方面，2021年浆价中枢有上行动力，纸浆价格有望温和上涨，文化纸和白卡纸价格也将逐步修复。
20201113,废纸价格中枢预计将维持高位，箱板瓦楞纸的利润有望得到修复。生活用纸行业受益于消费升级和疫情催化下的卫生习惯改变，市场天花板远未见顶。
20201113,罐化率提升和二片罐需求增长加速，二片罐提价空间广阔，原材料压力可向下游传导，行业利润有望持续向上修复。
20201113,传统文具零售行业方面，晨光文具受益于其广泛的校边店布局和高效的供应物流体系，形成了坚固的竞争壁垒。
20181020,床垫行业整合：喜临门大股东计划出售股权给顾家家居，显示床垫领域已开始从头部进行整合，预计未来家居板块集中度将提升。
20181020,外废配额影响：双11前夕市场需求不温不火，外废配额的快速回暖对国废价格及包装纸价格形成压力，导致部分纸厂在传统旺季停机保价。
20181020,包装板块影响：外废配额增加使上游纸厂下调包装纸出厂价格，降低包装企业生产成本，但未来包装纸价仍有下调空间。
20181020,家居板块趋势：家居板块面临集中度提升问题，各领域龙头企业在市场中更具竞争力。
20181020,纸浆产量波动：2018年前8个月，机制纸与纸板产量微降，纸浆产量同比增加。
20181020,纸及纸板进出口情况：2018年8月，纸及纸板进出口数量上升。
20181020,轻工制造行业风险：在宏观经济波动或疲软情况下，轻工制造行业的下游消费品行业增长受限，影响企业订单和营业收入增长。同时，原材料价格波动可能导致企业成本增加，而行业集中度较低，企业难以通过涨价向下游传递成本压力。
20201214,家居内外销景气度上升：随着疫情控制和经济发展，全球家居需求回暖，内外销市场呈现积极态势。
20201214,造纸周期板块：本周废纸价格上涨，木浆价格上涨，表明原材料供应紧张，可能导致纸制品价格上涨。
20201214,关税影响：美国关税政策导致木材市场价格波动，进而推高家具成本，损害了消费者住房承受能力。
20201214,供需关系：关税政策影响下，木材供应紧张，进一步推高了家具价格，使得消费者面临更大的购房压力。
20201214,行业挑战：原材料价格上涨和关税压力使得家居企业面临成本上升挑战，亟待寻求降本增效的途径。
20200630,家居板块行至中场，定制家居公司工程渠道占比普遍提升，对短期业绩带来支撑。
20200630,纸品行业受益于消费升级和外废管控，白卡纸消费替代需求稳步提升。
20200630,生活用纸行业原材料价格维持低位，下游需求旺盛，个护品类开拓加速，布局远景发展。
20200630,部分次新股如嘉美包装、松炀资源、爱丽家居估值回调。
20200630,商品房销售面积增速下行对家具制造业收入产生影响，但家居需求滞后周期仍有一定支撑。
20200630,定制家居龙头公司工程渠道收入占比提升，支撑短期业绩表现。
20200630,文化纸产能稳健增长，需求回暖，有望带动底部修复行情。
20200510,浆市供需僵持，浆价承压运行，预计短期浆市供需情况改善有限，浆价弱势震荡整理为主。
20200510,废纸回收量大幅下滑，导致外废报盘持续走高，进一步抑制国内纸企的进口意愿。
20200510,国内造纸需求前景悲观，国废价格低位震荡，人民币汇率贬值等因素或进一步抑制国内纸企的进口意愿。
20200510,生活用纸价格下行，需求放缓加剧纸浆价格下行压力。
20200510,文化纸价格战之后，生活用纸价格延续下行态势，需求的放缓加剧纸浆价格下行压力。
20200510,铜版纸、双胶纸市场交投清淡，中小纸厂订单有限，整体开工负荷率下滑。
20200510,白卡纸行业加速整合，行业集中度进一步提升，纸价有望进入上行空间。
20200510,白卡纸具有消费属性，用途广泛，限塑令的稳步推进也有利于白卡纸的需求增长。
20200510,华东地区个别纸企轮产，市场供应充足，终端出口需求恢复较慢，市场看涨心态不强。
20200510,废纸到厂价或延续下跌，国废价格低位震荡，废纸回收市场供需关系平淡。
20200510,受成本带动，纸厂有窄幅拉涨报价意图，但拉涨动能略显不足。
20200510,规模纸厂取消优惠政策，市场有顺势推涨之意，但下游需求短期难恢复，多空博弈较明显。
20200510,原料废纸价格出现上调，成本增加支撑纸企提价意愿增强。
20200510,五一期间停机检修纸企较多，行业开工下滑带动市场供应减少。
20200510,白板纸需求持续收紧，部分经销商库存压力下低价出货。
20180407,轻工行业中，全屋定制和软体家居市场呈现出良好的发展态势，互联网和SP店成为新的流量入口，满足不断增长的市场需求。
20180407,全屋定制行业市占率较低，具有巨大增长潜力，多品类提升客单价和龙头成本优势使其成为行业亮点。
20180407,软体家居行业格局不断优化，消费升级大趋势下，品牌化软体龙头有望加速增长。
20180407,造纸行业中，木浆供需偏紧，阔叶浆价格预计维持高位震荡，文化纸盈利能力将在高位运行。
20180407,铜版纸和双胶纸新增产能集中在造纸龙头，环保审批严格，新增产能释放低于预期。
20180407,木浆资源禀赋将更加突出，推荐具有上游资源禀赋优势的木浆系龙头晨鸣纸业和成本优势较强的太阳纸业。
20180407,九木杂物社作为晨光文具的新利润增长点，具有广阔的市场潜力。
20180407,国外废纸价格小幅上涨，国内废纸价格下跌，影响包装印刷板块的盈利水平。
20190923,轻工制造行业中，包装领域受益于行业整合，龙头企业的市场份额和话语权提升，同时原材料价格回落，业绩确定性增长。
20190923,造纸行业中，太阳纸业的管理能力和激励水平为行业标杆，成本优势突出，盈利能力逐季提升。
20190923,家居行业中，定制家居领域处于升维竞争，但龙头企业仍具有综合竞争优势，成品家居行业仍处于品牌整合的初级阶段。
20190923,包装原材料方面，原油价格上涨，聚乙烯、聚丙烯价格上涨。
20190923,成品纸市场价格上涨，国内针叶浆价格上涨，国废、美废价格维稳。
20190923,文化纸市场旺季来临，9月提价函已基本落地。
20181125,研报涉及轻工制造行业，主要分析定制家居、包装板块和生活用纸等细分领域。
20181125,头部定制家居企业存在下调价格以拓展市场份额的可能性，市场份额扩大将导致小品牌持续出清。
20181125,原纸价格呈现齐涨局面，国废收购价格持续下调，纸企静待新年行情的情绪逐渐升温。
20181125,环保包装理念逐渐深入，包装纸使用量受到压制，市场对物流纸箱需求减弱。
20181125,拥有稳定下游客户的龙头包装企业受环保政策影响较小，如合兴包装和吉宏股份。
20181125,粘胶短纤价格上涨可能带动太阳纸业溶解浆产品价格上涨，生活用纸业务全渠道布局，O2O推广品牌全国扩张。
20181125,纸尿裤行业空间巨大，拥有领先技术的企业未来发展前景大好。
20181125,2018年前10月机制纸与纸板产量微降，纸浆产量同比增加。
20181125,2018年9月纸及纸板进出口数量上升，但自上周以来，国内浆纸系纸品与废纸系纸品价格出现下降趋势。
20190417,家具类消费增速显著，3月社会消费品零售总额同比增长12.8%，主要得益于今年315促销活动力度较大，分流效果明显，预计家具类社零累计增速将持续修复。
20190417,日用品类消费增速稳定，3月社会消费品零售总额同比增长16.6%，Q1累计同比增长16.1%，下游需求成长性及稳定性较强，叠加木浆相对低位释放盈利弹性，推荐关注扩品类进军美妆个护的滞涨龙头中顺洁柔、生活用纸及卫生巾龙头恒安国际。
20190417,化妆品增速大幅反弹，3月在去年同期高基数下仍实现两位数增长，建议关注国产护肤龙头珀莱雅。
20190417,文化办公用品社零增速波动主要受基数影响，但行业分化明显，集中度持续提高，建议关注龙头晨光文具。
20181021,近期龙头纸企陆续发布涨价函，主要集中在箱板/瓦楞纸等包装纸，幅度约 100-200元/吨，反映出纸业市场进入旺季。
20181021,随着纸业景气进入中后端，纸张价格在成本端木浆、国废价格的高位传导效应下，有望维持相对高位，但提价的空间有待持续跟踪。
20181021,成本端及需求端驱动涨价逻辑略有弱化，但龙头企业仍处于渠道、品类扩张的阶段，且在渠道、品牌、效率、服务等各方面具有明显优势。
20181021,板块收入增速自 17年下半年起持续回升，且纸价高位回落有助缓解成本端压力；另外行业整合仍是长期趋势，龙头企业一体化经营程度高、成本控制及客户开拓能力强，将在整合过程中充分受益。
20181021,软体家居龙头强强联合，期待协同效应显现，公司为国内床垫行业的领军企业，已在床垫行业成功卡位。
20181021,家居行业属地产后周期行业，2017 年以来房地产增速逐年放缓，但二次翻新装修市场等持续驱动家居行业增长。
