Date,Content
20190317,技术密集型：测试行业作为技术密集型产业，具有较高的研发投入，以满足不断发展的技术和市场需求。
20190317,非标准化产品：测试行业主要提供非标准化产品，这意味着每个项目都需要定制化的解决方案，增加了行业的复杂性和专业性。
20190317,客户粘性：由于非标准化产品的特性，客户在选择测试服务时，往往会对特定服务商产生依赖，形成较强的客户粘性。
20190324,提速降费政策和市场竞争加剧导致三大运营商移动ARPU值下降，运营商需寻找新的增长动力。
20200115,数据中心建设受到政策限制，中心城市机房成为稀缺资源，但公司在一线城市周边地区新建机房具有优势，销售稳定。
20180723,目前国内通信模组市场中，2G产品占据主导地位，但由于其价格较低，导致国内企业整体毛利水平相对较低。
20180722,光通信行业受益于政策驱动和网络流量的高增长，贸易战对其影响较小，国产化程度较高，有利于提升光纤光缆终端价格。
20180722,光纤预制棒产能释放不足，以及三大运营商持续投入和传输网升级扩容加速，可能导致光纤光缆行业供求紧张状况持续到2019年初。
20180722,在光纤光缆持续供不应求的情况下，价格有望稳中有升，其中光棒供应充足、业绩能快速释放的龙头企业最受看好。
20201115,在中国市场，企业竞争激烈，主要采用价格战形式进行竞争，导致市场竞争异常激烈。
20201115,一线城市因银行、金融公司、互联网企业等数据中心重要客户资源集中，以及考虑网络延迟、运维等因素，数据中心需求相对其他地区更为旺盛。然而，核心地段远期实际供给量可能受政策动态变化影响较大，因此核心地段可能出现供不应求的情况。
20201115,市场价格下滑可能影响整体市场增速。
20201115,风险提示：光通信市场竞争可能加剧；宏观经济压力可能导致激光设备行业需求不及预期。
20170604,光纤光缆行业需求增长：中国移动在固网方面持续发力，推动光纤光缆需求上升。
20190324,中国移动支撑网投资增长明显，主要原因是加大了自用的私有云建设，这将带来服务器、交换机等设备的采购需求。
20170409,公司三季度增速下滑影响市场信心，主要受直播业务增速下滑及BAT竞争对手挤压所致，属正常波动。
20170409,光迅科技受益于数据流量高速增长和网络管道需求提升，以及中移动大力推广宽带业务战略，新建覆盖全国的FTTH网络，推动光通信网络支出。
20210117,芯片行业整体价格上涨，主要受晶圆供货紧张影响，部分企业涨幅高达50%。
20210117,国际环境变化、疫情超预期、5G进展不及预期等因素可能影响半导体产业的供应链和海外拓展。
20210117,市场竞争加剧可能导致毛利率下滑，人民币升值可能影响外向型企业的汇兑收益和毛利率。
20200310,2019年光纤光缆行业供大于求，导致价格下跌，其中中国移动的普通光缆集采价格“腰斩”，光纤每芯公里从60多元下降到30多元。
