Date,Content
20191103,钢铁行业近期情绪悲观，钢价出现超跌反弹，但持续性有待观察。
20191103,产业链调研显示，部分地区库存不高且有缺规格现象，整体去库速度较快，反映市场情绪仍然悲观。
20191103,钢价在前期下跌后本周略有反弹，但反弹能否持续仍需观察。
20180226,钢材库存上升，节后需求刺激钢价上涨：由于春节期间钢材需求未得到释放，导致钢材库存增加，但随着春节后需求旺季的到来，预计钢价将开始上涨。
20180226,2018年需求向好，主要钢厂需弥补地条钢退出造成的需求缺口：地条钢退出导致的供应减少，预计将推动钢价上涨。
20180226,产能利用率逐步上行：随着需求的恢复，钢厂产能利用率有望逐步提高，有利于钢价上涨。
20180226,矿石价格上涨：矿石价格上涨可能导致钢材生产成本上升，但同时也可能带来钢材价格的上涨。
20180226,钢材价格上涨：受需求恢复、地条钢退出等因素影响，预计钢材价格将上涨。
20180226,钢材利润上升：随着钢价上涨，钢材企业的利润水平有望提高。
20180226,关注需求状况及最新限产政策：钢价走势受需求变化和限产政策影响较大，需要密切关注这些因素的变化。
20180226,看好2月末至3月冬储及需求回升推升的钢价反弹行情：预计2月末至3月，随着需求恢复和冬储需求，钢价将出现反弹行情。
20201219,钢铁行业的外需开始回暖，表现为钢铁出口数据的改善以及中美热卷价差的扩大。
20201219,高频成交及库存数据显示钢铁需求尚未见顶，短期内钢铁及原料价格有望维持高位运行。
20201219,冷轧等板材占比较高的企业在当前环境下具有较好的盈利表现，建议关注相关公司，如宝钢股份、华菱钢铁等。
20201219,成材价格在周内继续上涨，主要受到期货市场情绪、终端需求韧性、原材料价格支撑等因素的影响。
20201219,铁矿石需求保持高位，矿价上涨主要受海外发货量及到港量回落导致的整体供给收缩影响。
20210313,中国钢铁行业：供给端受到政策影响，可能导致钢价波动加大。海外市场需求恢复，但由于产能利用率不足和美国进口限制，美国钢价大幅上涨。
20210313,美国钢铁行业：随着疫情缓和，制造业和房地产复苏推动钢铁需求增长，但产能利用率较低，导致供需错配，钢价飙升。
20210313,国际贸易影响：中美两国钢铁产量差距较大，理论上可以通过出口填补美国钢铁缺口，但在实际中受到减产预期、出口回流等因素制约。
20180112,2017年，受益于去产能及环保限产，钢铁行业供给主动收缩，推动钢价上涨并逼近历史高点。
20180112,2017年，生铁产量累计同比增长2.30%，原料矿石、焦炭需求因此提振，普氏指数、上海二级冶金焦均价分别上涨22.02%、53.07%。
20180112,受益于去产能，钢铁冶炼环节的产业链地位提升，2017年钢铁行业盈利高位运行并创出新高。
20180112,2018年钢材均价或将维稳，行业波动收敛；叠加原料端因海外矿山供给扩张和国内需求难增而整体趋弱，2018年钢铁行业盈利有望维持高位。
20171116,粗钢产量环比下降，钢材毛利大幅提升。
20171116,10月钢材毛利上升，钢企盈利面下降。
20171116,环保限产可能导致钢价和盈利在明年中期之前维持在相对高位。
20171116,明年1月和2月，产量可能大于需求，但钢价和盈利可能仍维持在相对高位。
20171116,明年3月开工后，钢价和盈利可能在相对高位维持至5月6月。
20171116,吨钢利润对产能利用率的敏感系数较高，但上半年不会体现。
20170704,多个行业保持增长，如矿产品、化工、建材、机械制造等。
20200507,2019年，受铁矿石等原料价格大幅上涨和钢材价格小幅下行的影响，钢企盈利受到大幅压缩。
20200507,2020年一季度，受新冠疫情影响，部分钢企发货受阻，营收小幅下行，库存高企。但随着疫情影响淡化，运输与下游施工恢复，钢材市场有望逐步恢复正常。
20200507,2019年，钢企中普钢与特钢板块分化明显，同比涨幅居前的均为特钢及管道钢企，普钢企业盈利均同比出现下滑。这主要是由于普钢生产中铁矿石占比更大，受铁矿价格上涨影响更加明显，而特钢需求相比普钢更具韧性。
20200507,前期受疫情影响，钢材社库与厂库均居历史水平高位。但随着运输与下游生产恢复，去库速度可观。目前库存仍大幅高于往年，但较快的去库速度有利于提振市场信心，后续去库速度将对钢价及盈利产生较大影响。
20170401,京津冀地区作为钢铁行业去产能的主战场，受到显著影响，未来去产能空间仍大。
20171019,钢铁行业在中国经济中具有重要地位，作为制造业的基础原材料，其发展受到广泛关注。
20171019,2015年，我国钢铁消费与产量双双进入峰值弧顶区并呈下降态势，钢铁主业由微利经营转为整体亏损，行业发展进入“严冬”期，全行业亏损。
20171019,钢铁行业发展中存在诸多问题，如产能过剩导致的恶性竞争、企业退出渠道不畅导致的僵尸企业增多以及融资贵等问题。
20171019,在供给侧改革过程中，去产能工作暴露出大量“地条钢”企业，这些问题企业严重扰乱钢铁市场环境。
20171019,“地条钢”的出清改善了市场竞争环境，结束了“劣币驱逐良币”现象，使正规钢企利润得到改善。
20171019,产能利用率提升和企业效益改善使得钢企利润率大幅上升。
20210131,短期流动性趋紧导致商品调整下行，表现为期货价格下跌，尤其是焦炭、铁矿等原料端跌幅较大。
20210131,央行公开市场持续回笼资金，导致短端利率大幅跳升，进而引发流动性紧张，影响商品、债券、股票市场同时出现调整。
20210405,碳中和政策和唐山限产政策影响钢铁行业供给，导致钢铁价格上升，钢厂盈利大幅改善。
20210405,中长期看，粗钢产量管控和碳排放成本上涨有望促进行业供给下降，淘汰排放量大产能，但对行业竞争力负面影响相对有限。
20210405,唐山限产政策抑制原料价格，如铁矿石价格小幅回落，焦炭价格大幅下降。
20210405,钢铁行业需求侧旺季临近，板材消费旺盛，钢材价格上升，原料价格回调，钢厂盈利大幅上涨。
20210405,汽车产销旺盛大幅拉动钢材需求，特别是汽车板消费。
20210405,唐山地区粗钢产量对全国钢铁行业供给影响较大。
20210405,短期看，粗钢产量压降预期将刺激钢价上涨；中长期看，粗钢产量管控和碳排放成本上涨有望促进行业供给下降，淘汰排放量大产能，对行业竞争力的负面影响相对有限，有利于行业兼并重组和供需关系改善，提升行业估值中枢。
20210405,板材需求旺盛，板材厂盈利水平高，钢铁股估值较低，存在较大向上修复空间，建议关注宝钢股份、华菱钢铁。
20210103,近期钢材消费下行，厂社库出现较大幅度累库，总库存高于去年同期，主要受冬季停工和投机性需求减弱的影响。
20210103,未来成材需求存在支撑，主要来自地产韧性和全球经济复苏预期下的制造业强势。
20210103,黑色品种供需预期维持相对紧平衡，受益于焦炭去产能和全球高炉产量恢复导致的铁矿短缺。
20210103,预期及海外需求情况是短期成材的主逻辑，其中建材需求受冬季停工和高库存影响，边际需求变化需观察；板材需求受海外疫情恢复情况和出口强势支撑。
20210103,铁矿价格存在政策性风险，工信部要求限制钢铁产量可能对铁矿价格产生影响。
20210103,焦煤供给短期偏紧，双焦价格偏强运行，主要受蒙煤进口受影响和澳煤进口限制等因素影响。
20190324,钢铁行业供需情况：尽管市场边际投放量增加，但终端需求持续复苏，社会库存加速下降，表明需求略胜一筹，支撑钢价温和上涨。
20190324,贸易商和钢厂挺价意愿较强：今年非协议贸易商库存不高，出货压力小，且在需求尚好、社库加速下降的周期下，贸易商和钢厂挺价意愿都较足。
20190324,产量和需求变化：近期产量边际增加，但受限于环保政策，产量恢复呈扁平化态势。需求仍具韧性，预计钢价将继续偏强运行。
20190324,铁矿石价格波动：受淡水河谷复产消息影响，铁矿石期货价格大幅下挫，现货价格回调。短期内矿价独立上涨行情仍有一定难度，预计矿价多将以震荡调整为主。
20190324,成本及利润变动：主要原料价格涨跌互现，除废钢外，铁矿石、焦炭、煤炭等价格均有下调，钢坯生产成本周平均值环比下降。不同品种的现货价格继续上涨，吨钢毛利值回升。
20190708,近期原材料端矿弱焦强，供应端唐山限产未达预期，但市场对未来70年大庆的环保预期仍对钢价形成支撑。
20190708,需求端现货表现较弱，尽管6月专项债放量带来基建改善预期，但地产融资收紧成为未来需求的隐忧。
20190708,回顾过去10年，基建投资上升时，螺纹价格反而下降，原因在于经济下行压力大时才会使用基建作为逆周期调节工具，总需求偏弱。
20190708,普钢行业的机会在于兼并重组和低成本企业，如宝钢股份、华菱钢铁、方大特钢、三钢闽光等。
20190708,7月螺纹钢市场宏观利好，废钢行情迎来今年最大涨幅，废钢库存处于年内低位，市场供给偏紧，价格仍有上涨条件。
20190708,7月重庆优特钢供给大幅下滑，即使需求不振，在供需紧平衡环境中，优特钢市场价格仍有涨价可能。
20190708,中钢协副会长屈秀丽表示，受环保和盈利下降等因素影响，后期国内钢铁生产增速将放缓。
20190708,久立特材主要从事工业用不锈钢管及特种合金管材、管件的研发、生产和销售，产品广泛应用于多个领域，近年来通过调整产品结构，行业竞争地位大幅提升。
20171211,钢铁板块上周跌幅位居全市场第一，主要受到黑色商品期货大跌的影响，反映出市场对钢铁行业的预期有所改变。
20171211,社会库存继续减少，但去化速度放缓，表明冬季需求开始减弱，但冬季限产可能对钢材价格形成支撑。
20171211,钢材价格上涨与前期主要原料价格较低，使得钢材吨钢毛利继续攀升，有利于钢铁企业四季度业绩的增长。
20171211,铁矿石价格环比继续上涨，焦炭价格涨幅较大，这可能对钢铁企业的成本产生影响。
20171211,国内普碳废钢价格大部分地区明显上涨，价格走强，这可能对钢铁企业的生产成本产生影响。
20171211,12月份国内钢材价格依然震荡走高，钢厂出口动力不足叠加环保限产供应减少，预计全年钢材出口同比或将出现较大降幅。
20171211,短期来看，铁矿石价格有所走强，中长期来看铁矿石价格将承压，难以大幅上涨。
20191126,钢铁行业受到原材料成本上升和钢材价格走弱的双重压力，导致钢铁上市公司的盈利能力有所下降。
20191126,钢铁上市公司的销售毛利率和销售净利率均呈下降趋势，分别从2018年一季度的14.60%和6.97%降至2019年三季度的9.63%和3.24%。
20190416,印度卡纳塔克邦的低品铁矿石需求减弱，导致库存积压，进一步影响了该地区的铁矿石销售。
20190416,在过去的一个财年，卡纳塔克邦的电子盘拍卖中有高达500万吨铁矿石未售出，显示出市场需求疲软。
20200203,疫情对钢铁需求的影响主要体现在两个方面：一是真实需求的延迟释放，二是由于钢厂生产相对正常，需求的迟滞会导致库存的累积，从而使得钢铁订单的额外缩减。
20200203,在考虑这一影响后，全年需求增量可能会低于供应增量，进而导致行业过剩程度增加，年度平均盈利下移。
20200203,虽然复工延迟对钢铁需求的影响占全年的比例看似不大，但实际上冲击明显，因为1、2月的需求负增长幅度将达到8.9%，相当于一场小型的需求衰退。
20200203,疫情对钢铁供应的影响相对较小，因为高炉在生产方面并未受到影响，而短流程产线的延迟复产对整体供应的影响也相对较小。
20180526,钢铁行业供需矛盾逐渐积累，供应方面，尽管局部有限产和检修，但在高吨钢毛利刺激下，钢厂生产积极性较高；需求方面，随着6月到来，终端需求可能出现边际回落，短期内钢价可能震荡偏弱。
20180526,美国地区钢价相对稳定，但进口钢材价格明显下降，可能是由于市场需求回暖预期悲观，观望情绪较重，钢价上涨缺乏支撑；欧洲市场板材价格企稳，长材价格小幅下跌，需求低迷背景下产业链心态较差，后期钢价整体偏弱。
20180526,本周日均疏港量继续环比上升，钢厂进口铁矿石库存天数周环比下滑，显示出在高盈利刺激下，钢厂生产积极，对铁矿石需求较大。
20180526,上合峰会临近，部分地区铁矿石需求可能受到抑制，加上澳洲泊位检修结束，铁矿石供应短期呈现增加趋势，预计矿价在钢价整体偏弱背景下趋于弱势。
20180526,本周吨钢盈利均呈下跌态势，钢材成本端继续上升，钢价小幅下滑，行业吨钢毛利均呈下跌态势，重点企业的主要产品利润也出现不同程度下降。
20191125,房地产钢需维持高位，新开工面积累计同比增速回升至两位数，显示出市场需求较好。
20191125,基建投资维持弱复苏，大项目新开工增多，对钢需产生积极影响。
20191125,社会库存作为钢材产业链的“蓄水池”，反映了市场上的投机意愿。
20191125,今年钢材供给端高供应和地产繁荣周期持续时间较长，导致市场对钢需持悲观预期，投机意愿减弱，库存被动积累。
20190905,钢铁行业当前处于产能过剩状态，主要原因是需求走弱下产量维持高位，供需不匹配。
20190905,市场中钢铁行业违法违规产能尚未完全消除，助推产量维持较高水平，给行业带来压力。
20190905,环保限产及环保督察的外部刺激和企业内部减少供给的动力，可能导致违法违规产能被清算，从而改善供应端状况。
20190905,需求端逆周期调控下，基建和制造业回暖、地产平稳，有利于钢铁行业需求恢复。
20180919,9月钢材期货价格通常下跌的原因包括：采购提前、供给释放、涨价透支、主动去库、预期转向等因素。
20180919,今年9月钢材期货价格不具备下行基础，后续随限产政策逐步落地反弹可期。
20180919,需求是方向、供给是弹性，需求变化对绝对收益的影响较大，而供给改变的是行业在产业链中利润分配份额。
20180919,今年9月不利于钢材期货涨价的因素仅为前期钢价已然上涨，并不足以引发“旺季不旺”行情。
20180919,钢铁板块表现平平，主要受供需两方面因素影响：需求不达旺季预期，供给快速回升，贸易商库存相对低位。
20180919,后期回调空间或相对有限，上涨驱动主要来自市场系统性因素和基本面是否进一步景气。
20180416,铁矿石价格上涨，焦炭价格下降，钢材价格上涨。
