Date,Content
20210104,受季节性因素影响，12月未贴现银行承兑汇票一般环比上升较多，主要因为年末企业开立票据支付欠款，预计12月未贴现银行承兑汇票净融资额约为900亿元。
20210104,信托贷款和委托信贷受到强监管影响，持续压降，预计12月信托贷款净融资为-1600亿元，委托贷款净融资为-200亿元。
20210104,社融增速可能受到未贴现银行承兑汇票和信托贷款、委托贷款的影响而继续下降。
20210104,银行体系内的票据融资和信托、委托贷款的变动反映出实体经济融资需求的减弱，可能对银行资产端产生影响。
20210119,银行股的投资回报率主要取决于EPS增速差异和PE变动差异，而非股息率，因此不同银行的投资回报率差异主要在于其业绩增长和估值变化。
20210119,宏观经济大幅下行可能对银行业产生多方面影响，如净息差、资产质量等，但银行股的业绩回报率并没有市场认为的那么差，主要是估值下降拉低了股价回报率。
20210119,大部分银行难以摆脱β的束缚，随着宏观经济下行而估值回落。然而，有三家银行（A、B、C）因自身基本面优秀，实现了估值上升。
20210119,银行的非息收入对营业收入增速的影响可以忽略，而资产减值损失同比增速更加重要，因为它决定了银行成本端的变化。
20210119,不良贷款情况，特别是不良生成率，是银行成本端变化的关键变量。虽然今年银行业的不良生成率同比增加，但主要原因是监管要求银行加大不良确认和处置力度，导致关注类贷款被确认为不良贷款。
20201105,上市银行2020年3季度拨备计提同比增长33%，维持高位，成为行业整体利润下行的主要原因。
20201105,2020年前3季度上市银行手续费及佣金收入同比增速5.7%，较半年报抬升，主要原因在于财富管理相关收入的支撑以及信用卡业务的修复。
20201105,宏观经济下行导致行业资产质量压力超预期抬升。银行受宏观经济波动影响较大，宏观经济走势将对企业经营状况，尤其是偿债能力带来显著影响，从而对银行资产质量带来波动。
20201102,银行业三季报显示，上市银行不良率回升，但关注率持续下降，说明银行加大了不良确认力度，资产质量逐步筑底。
20201102,今年上半年，银行卡手续费收入增速放缓，导致手续费净收入增速回落。随着疫情冲击消退，三季度银行卡手续费收入恢复常态，使得手续费净收入增速回升。
20201102,关注率下降和“不良率+关注率”的总体下降，反映出银行在加强风险管理、提高资产质量方面取得了一定成效。
20210129,区域性银行的投资价值在于其经营范围有限，受地方经济影响较大，而全国性银行在资产和客群的选择空间上更具优势。
20210129,在银行经营能力相似的情况下，全国性银行相较于区域性银行更具投资价值。
20210129,区域性银行由于以市场化薪酬吸引高素质人才，较高的人员费用支出维持专业的一线客户经理团队运营，这部分支出属于必要支出。
20210129,区域性银行的经营模式和全国性银行存在差异，因此在投资价值评估时需考虑其特有的经营环境和运营策略。
20201130,银行板块持仓比重低、估值低的原因：投资者偏好高成长性、高弹性板块，银行板块估值弹性相对较弱。
20201130,银行经营受宏观经济影响，经济高涨和改善对银行量（规模扩张）、价（息差）、质（资产质量）带来正面影响，反映在股价表现上。
20201130,债券违约潮背后的原因：金融去杠杆、企业非标融资渠道受限导致流动性紧张。
20201130,债券发行主体融资难度加大，影响银行债务偿还能力，进而影响银行资产质量。
20201130,银行代理业务收入表现不及互联网平台：互联网平台客户触达入口在移动端，用户月活数远高于银行，奠定其在金融产品代销服务方面良好表现基础。
20201130,货币市场基金支付属性减弱：央行和证监会联合发布指导意见，规范货币市场基金互联网销售赎回相关服务。
20201130,非标资产规模压降：资管新规出台以来，委贷、信托等非标通道规模不断压降，企业通过“票据贴现-购买结构性存款-再开票”进行套利行为导致未贴现承兑汇票增长。
20201213,疫情对多个行业产生冲击，包括批发零售、文化娱乐、住宿餐饮、旅游航空等。这些行业的不良贷款率上升，尤其是批发零售行业，其不良率原本就较高，疫情将进一步加剧这一情况。
20201213,文化娱乐、航空旅游、住宿餐饮等行业的不良贷款率在疫情前相对较低，但随着疫情的发展，这些行业的不良率未来会显著升高。
20201213,经济结构调整导致部分行业景气度下降，如零售百货等。这些行业的不良率未来回升概率较大。
20201213,银行业面临的风险包括行业不良率的上升和经济结构调整带来的压力，这将对银行业绩产生一定影响。
20201213,随着疫情对经济的影响逐渐显现，政策层面可能需要加大对受影响行业的支持力度，以降低银行业的不良资产风险。
20210208,环渤海地区地方法人银行的盈利能力不强，主要原因是其经营模式较为粗放，创收能力偏弱。这与该地区大中型企业、央企和国企较多，直接融资渠道不弱，银行议价受限有关。
20210208,2018-2019年，环渤海地区地方法人银行收入端表现曾有所改善，但在2020年上半年，受息差收窄和减值计提力度加大影响，业绩表现明显下滑。
20210208,2016年底开启的去杠杆政策导致资金价格上升，企业发债节奏放缓。2018年货币政策转向宽实体信用，但受资管新规影响，非标资产面临较大收缩压力。
20210208,环渤海地方法人银行在2019年业绩增速达到近年最好水平，但2020年上半年业绩明显下滑。
20210208,环渤海地区地方法人银行逾期90天内贷款较多，反映其与当地企业客户之间的议价权相对较弱，以及银行内部风控方面存在一定不足。
20210208,2021年，消费和投资活动的复苏将推动银行卡、支付结算业务收入以及消费信贷手续费收入的增加。
20210208,房地产行业在2021年面临资金收紧和成本上升的压力，因为经营销售回款约占房地产开发投资资金的五成，销售端增速的下降将直接影响开发商的资金来源。
20210208,大中型银行主要调降的是按揭贷款，而小型银行（如城商、农商行）主要的调降压力来自房地产开发贷款。这些小型银行主要服务区域性的中小房企，因此中小房企面临开发贷资金来源受限的压力更大。
20210208,银行的业绩在1.0模式下表现出较强的亲周期性，经济下行带来的资产质量压力可能大幅侵蚀银行利润。
20210208,消费和投资活动的复苏为银行业带来了良好的发展机遇，尤其是银行卡、支付结算业务和消费信贷手续费收入。
20210208,房地产行业资金收紧和成本上升，可能导致开发商资金来源受限，进而影响银行业的发展。
20210208,银行调整贷款结构，大中型银行侧重于按揭贷款，小型银行则面临房地产开发贷款的压力。
20210310,短期贷款新增量较小，高基数下大幅少增，票据融资连续收缩，反映出银行将有限的信贷额度向中长期贷款集中，以满足市场需求。
20210310,票据贴现利率2月维持高位，表明市场对短期融资的需求依然旺盛，但银行信贷额度有限，导致票据融资减少。
20210310,贷款利率回升，预计将对中长期贷款产生积极影响，刺激实体经济复苏，同时也意味着银行将进一步提高贷款利率，以实现利润最大化。
20210310,信贷连续放量，说明我国金融市场流动性充足，有利于经济发展。然而，在有限的信贷额度下，银行可能更加审慎发放贷款，精选优质客户。
20200914,8月社融高增：表明我国实体经济在疫情期间的恢复速度较快，对银行贷款需求增加，从而推动了社会融资规模的扩大。
20200914,银行板块防御性凸显：在当前经济环境下，银行板块的表现相对稳健，具有较好的防御性，投资者可将其作为应对经济外部风险的一种投资策略。
20200914,降息导致净息差承压：随着降息政策的实施，银行的存贷款利率同步下降，导致银行的净息差收窄，对银行利润产生压力。
20200914,外资银行进入带来行业竞争加剧：随着我国金融市场的不断开放，外资银行进入将加剧国内银行业竞争，对国内银行的市场份额和利润水平构成压力。
20200914,行业整体盈利预期较低：受经济下行压力和金融市场波动的影响，银行业整体的盈利预期相对较低，投资者应对此保持谨慎。
20210103,近年来，消费贷及信用卡受到个人共债风险上升的影响，风险管控压力增大。疫情期间，此类风险已暴露出一轮，性价比降低。
20210103,受房贷新规影响，银行新增贷款投放压力加大，可能导致银行利润持续下滑。
20210103,由于不同银行的报表披露数据口径存在差异，本文中的所有指标测算可能与实际情况存在差异，仅供参考。
20210103,房贷受限可能使宏观经济不及预期，从而对银行资产质量造成压力。
20201221,IFRS9实施后，银行利润表与股市、债市、汇市的联动性和相关性增强。债券市场收益率自5月份以来单边上升，导致债券投资的公允价值变动连续两个季度出现浮亏，投资收益连续两个季度环比收窄，进而拖累其他非息收入同比负增长幅度扩大。
20201221,2014-2015年，问题贷款（关注+不良）生成率远高于不良净生成率，部分潜在不良被隐藏在关注类贷款中，导致关注率快速上升。2017年开始，不良生成率与问题贷款净生成率趋同，表明银行对新发生的风险及时确认为不良，关注率也开始持续下降。
20201221,银行行业在后疫情时代面临业绩反转和价值重估，需关注疫情对银行业绩的影响以及宏观经济走势对银行业务的传导。
20201221,债券市场收益率变动对银行业绩具有显著影响，银行需在风险控制的前提下，优化资产配置，提高投资收益。
20200723,疫情导致消费低迷，2020年第一季度个人贷款需求受到影响，使得个人贷款增量明显下滑。
20200723,在经济衰退时期，货币政策通常会宽松，政策鼓励银行大幅增加信贷投放，因此在国内经济面临衰退或危机时，新增贷款往往会放量。
20200723,经济过热时，尽管融资需求旺盛，但政策收紧，导致信贷投放偏紧。
20200723,银行信贷投放受到宏观经济环境和政策调控的影响，呈现出周期性波动。
20210226,经济增速放缓导致银行资产质量降低、不良率提升风险：随着我国经济增速放缓，银行业面临着资产质量下降的压力，不良贷款率可能进一步提升，这将对银行的经营业绩产生负面影响。
20210226,国际金融环境恶化风险：全球经济复苏的不确定性以及国际金融环境的恶化，可能对我国银行业带来较大的风险冲击，包括汇率波动、外资流动变化等。
20210226,爆发重大风险及违约事件：在经济增速放缓、金融环境恶化的背景下，银行业可能面临重大风险事件和违约情况的增加，对行业稳定性产生威胁。
20210226,房产中介适应不对外展示价格的交易模式：在房源价格屏蔽的背景下，房产中介逐渐适应了这种交易模式，但这种现象可能对市场透明度和消费者权益产生不利影响。
20210226,银行股去向何方？：在美债利率提升的背景下，银行股可能面临一定的压力。投资者需关注银行业的资产质量、风险管理以及业务创新等方面的表现，以判断银行股的未来走势。
20200904,银行业中报业绩核心盈利能力稳固，其中财富管理中枢增长强劲，净利息收入以量补价，业绩负增长主要由于拨备计提力度提高。
20200904,城农商行吸储能力相对较弱，监管限制高息揽储产品后，存款竞争回归到一般性存款。
20200904,负债成本较低的大型银行在上半年下沉投放小微贷款，加剧了贷款竞争，进而影响中小银行通过贷款回流存款，使得存款竞争更加激烈。
20200904,银行卡手续费仍是手续费收入的主要组成部分，尽管一季度受到疫情影响，但二季度消费需求修复，带动银行卡手续费收入有所回升。
20210104,宏观经济下行压力加大，可能导致银行业资产质量风险上升。由于银行贷款主要投向实体经济，宏观经济波动会直接影响企业的经营状况和偿债能力，进而对银行业资产质量产生影响。
20210104,经济景气度向上，有利于银行业绩改善。当经济回暖时，企业的经营状况和偿债能力相对较强，有助于降低银行的不良贷款率，提高资产质量。
20210104,看好银行估值修复。在经济景气度向上的背景下，银行业绩有望逐步改善，从而推动银行股价上涨，实现估值修复。
20210104,行业竞争加剧，银行业务转型压力增大。随着金融科技的快速发展，银行业面临激烈的竞争环境，需要不断进行业务创新和转型，以提高市场份额和盈利能力。
20210104,政策调整对银行业产生一定影响。政府对金融市场的调控和政策导向将直接影响银行业的经营策略和盈利水平，银行需要密切关注政策变化，做好风险管理和业务调整。
20210104,看好零售银行业务的发展。随着消费升级和金融科技的应用，零售银行业务具有较高的增长潜力，有望成为银行业绩的新增长点。
20210104,银行业需要关注利率市场化改革的影响。利率市场化改革将改变银行业原有的盈利模式，银行需加强风险管理、优化资产负债结构，以应对市场变化。
20210220,2016-2017年，银行资产质量改善，资产减值损失对净利润增长的不利影响减弱；2018年，受贸易战等因素影响，宏观经济走弱，银行资产质量恶化，资产减值损失对净利润增长的不利影响增强，导致银行板块估值相对提升行情结束。
20210220,2017年，净息差对净利润增长的不利影响大幅减弱，成为推动板块估值相对提升的因素；然而，2018年净息差对净利润增长的影响虽为正向，但未能阻止银行板块估值相对提升行情的结束。
20210220,监管要求银行加大不良确认和处置力度，导致关注类贷款被确认为不良贷款，即口径变化使银行账面不良生成率提高。
20210220,银行近几年来大力调整贷款结构，使不良生成率对经济周期的敏感性减弱。
20210220,若宏观经济大幅下行，可能对银行业产生多方面影响，如货币政策宽松对净息差的负面影响，以及借款人偿债能力下降对银行资产质量的不利影响等。
20210303,不良生成率与银行减值准备计提力度存在因果关系，当不良生成率上升时，银行会加大减值准备计提力度。
20210303,减值准备计提力度与信用成本之间存在正相关关系，当减值准备计提力度增加时，信用成本会上行。
20210303,反之，当不良生成率下降，银行减值准备计提力度减小，信用成本也会随之下降。
20210303,银行股的进攻逻辑在于，通过加大减值准备计提力度，银行可以提前消化潜在风险，从而降低信用成本，提高盈利能力。
20210205,1月份未贴现银行承兑汇票的净融资额可能超过预期，这与1月份信贷投放量大、票据贴现额度紧张以及票据融资利率上升有关。
20210205,银行承兑汇票规模较大，反映出实体经济对资金的需求较强，同时也显示出银行对信贷投放的信心。
