Date,Content
20201009,互联网保险行业核心参与方包括传统保险公司、专业互联网保险公司、互联网保险中介，未来互联网公司可能凭借流量和场景优势，对行业竞争格局产生冲击，加剧行业马太效应。
20201009,2020年上半年，某公司归母净利润为82亿元，同比下降22.1%，主要原因是去年同期税收优惠政策带来的高基数效应以及精算假设变更导致的寿险责任准备金增提，进而减少税前利润。
20201009,随着互联网公司逐步探索保险销售转化路径，互联网保险行业竞争格局可能发生变化，进一步提升行业集中度。
20201009,税收优惠政策和精算假设变更对公司的净利润产生影响，反映出保险行业盈利能力的波动性。
20210106,我国医疗行业关注点在于医疗质量与患者数量，而非性价比，导致医疗价格指数快速增长。医保支付改革促使医疗机构关注成本-价格问题。
20210106,我国商保渗透率较低，商保支出占医疗费用比例较低，导致患者自费支出较多，看病贵问题亟待解决。
20210106,平安好医生在线医疗业务毛利率受制于资本投入、议价力低的产品占比提升等因素，影响公司盈利能力。
20210106,在线问诊业务存在问诊无法确诊、用户需求频次低、产品可替代性强等问题，导致用户付费意愿较低。
20210106,平安好医生在供应链能力、药品流通网络等方面相对较弱，对药企降低成本的力度可能有限。
20210106,团体体检业务收入占比上升，履约率增加，使得公司毛利率有所下降。
20210106,人口结构变化、慢性病患病率上升等因素推动个人健康管理需求增加，医疗健康消费市场前景可观。
20210106,公立医院售药积极性下降，处方外流导致院外渠道（包括线上和线下零售药店）药品销售比例上升。
20210106,慢性病管理和医疗健康管理有望成为盈利增长点，并进一步促进在线零售药房需求。
20170418,创投行业具有马太效应，优秀创投公司更容易聚集好项目，形成正向循环。
20170418,拥有丰富储备项目的创投公司在未来三年内不受市场波动影响。
20170418,创投企业的盈利模式正在发生变化，向VC端聚集，加大并购基金或行业整合业务的投入，提高资本运作能力和投资能力。
20170418,二次出售退出占比提升的原因：创投基金待投资资金逐年提升，有充足的资金进行投资交易，因此转向同行收购优质项目。
20170418,投资人普遍反映好项目难找，热钱竞争导致价格战不可避免，一级市场估值抬高。
20170418,行业特征使得优质项目稀缺，投资竞争加剧，退出渠道扩容对创投行业带来利好。
20170418,创投行业整体向好的发展趋势不变，马太效应明显。
20170418,拥有丰富项目储备和强大资本运作能力的创投企业更具竞争优势。
20170418,退出渠道的扩容对创投行业带来利好，有利于行业整体发展。
20181123,研报关注非银金融行业，分析了新单保费下降的原因，包括134号文影响、银行理财收益率上升和代理人增员难度增加。
20181123,报告中提到，2018年4月开始，寿险新单保费与NBV进入上升期，主要得益于保费基数下降、代理人产能提升和保障型产品的推动。
20181123,研报指出，人均GDP的提高、医疗支出占GDP的增加、30-54岁人口规模及占比提升等因素将有利于保险行业的发展。
20181123,保险股价受固收类资产收益率、股市表现、监管政策和保费增长情况等因素影响。
20181123,受监管政策、金融去杠杆和宏观政策变化等因素影响，市场交易热情有所下滑。
20181123,证券行业佣金率受网上开户政策、一人多户政策和互联网金融影响，持续下降，但考虑到价格战效应递减，佣金率下滑空间有限，幅度将趋缓。
20200413,市场波动加剧，导致券商业绩分化加大，其中券商自营业务受投资策略不同的影响，表现不稳定。
20200413,经纪、投行业务表现相对稳定，但受市场整体环境波动影响，业绩仍存在一定不确定性。
20200413,随着市场波动加剧，券商面临更大的经营压力，需要优化投资策略和业务布局以应对市场变化。
20200413,行业内部竞争激烈，业绩分化现象可能持续，投资者在选择投资标的时需关注券商的业务布局和投资策略。
20210131,非银金融行业中，产险保费同比增长4.4%，但较2019年增速下降6.4个百分点，主要原因可能与车险综改导致车均保费下降及信用保证险业务规模压降有关。
20210131,受通道业务规模压降等因素影响，信托资产规模持续下滑。
20210131,过去几年信托行业爆发式增长所依赖的制度红利逐步减弱，同时资管行业放松导致外部竞争者加入，对信托的传统业务形成较大冲击。
20210131,由于宏观经济下行压力加大，更多企业面临流动性风险，信托报酬率和ROE已远不及高峰时期，行业爆发式增长已告一段落，未来将进入整固和平稳增长期。
